pointId Ascore actuallabel
0 0.507757 1
1 0.468645 0
2 0.568972 0
3 0.520193 0
4 0.422135 0
5 0.579088 0
6 0.428689 0
7 0.504723 0
8 0.43915 0
9 0.425049 0
10 0.464183 0
11 0.456114 0
12 0.450172 0
13 0.444769 0
14 0.42875 0
15 0.446503 0
16 0.463639 0
17 0.437618 0
18 0.455902 0
19 0.515134 0
20 0.440567 0
21 0.481053 0
22 0.427136 0
23 0.541608 0
24 0.430299 0
25 0.422947 0
26 0.4675 0
27 0.430797 0
28 0.458436 0
29 0.441269 0
30 0.456208 0
31 0.424038 0
32 0.424561 0
33 0.510237 0
34 0.590809 0
35 0.492855 0
36 0.439246 0
37 0.528454 0
38 0.436937 0
39 0.435687 0
40 0.422095 0
41 0.428453 0
42 0.423017 0
43 0.431817 0
44 0.447263 0
45 0.464377 0
46 0.437784 0
47 0.425648 0
48 0.422578 0
49 0.438094 0
50 0.450849 0
51 0.430968 0
52 0.454759 0
53 0.4639 0
54 0.422633 0
55 0.477634 0
56 0.463009 0
57 0.472348 0
58 0.50025 0
59 0.46309 0
60 0.436136 0
61 0.548887 0
62 0.522709 0
63 0.496432 0
64 0.462581 0
65 0.43442 0
66 0.461113 0
67 0.444164 0
68 0.46356 0
69 0.438645 0
70 0.42105 0
71 0.456925 0
72 0.429353 0
73 0.428941 0
74 0.430979 0
75 0.57619 0
76 0.564493 0
77 0.421804 0
78 0.419842 0
79 0.456083 0
80 0.465752 0
81 0.422166 0
82 0.421285 0
83 0.453378 0
84 0.613901 0
85 0.444024 0
86 0.59089 0
87 0.421287 0
88 0.477725 0
89 0.42789 0
90 0.467843 0
91 0.464329 0
92 0.434476 0
93 0.433655 0
94 0.42189 0
95 0.463854 0
96 0.551491 0
97 0.507053 0
98 0.43833 0
99 0.45989 0
100 0.439225 0
101 0.505029 0
102 0.556474 0
103 0.51108 0
104 0.510514 0
105 0.481462 0
106 0.463928 0
107 0.466631 0
108 0.433185 0
109 0.47759 0
110 0.500613 0
111 0.490632 0
112 0.561337 0
113 0.433485 0
114 0.444294 0
115 0.424918 0
116 0.506045 0
117 0.464333 0
118 0.475178 0
119 0.495077 0
120 0.43356 0
121 0.480668 0
122 0.444473 0
123 0.433516 0
124 0.571969 0
125 0.426904 0
126 0.60416 0
127 0.454486 0
128 0.54779 0
129 0.432829 0
130 0.48453 0
131 0.433904 0
132 0.451403 0
133 0.42715 0
134 0.433585 0
135 0.494411 0
136 0.451312 0
137 0.47266 0
138 0.493759 0
139 0.458307 0
140 0.45262 0
141 0.438696 0
142 0.425832 0
143 0.426138 0
144 0.46188 0
145 0.420227 0
146 0.433276 0
147 0.423723 0
148 0.436605 0
149 0.445332 0
150 0.584192 0
151 0.470287 0
152 0.472621 0
153 0.429394 0
154 0.437049 0
155 0.460268 0
156 0.486163 0
157 0.631469 0
158 0.429681 0
159 0.466884 0
160 0.438544 0
161 0.435478 0
162 0.44639 0
163 0.455038 0
164 0.450896 0
165 0.451478 0
166 0.4577 0
167 0.486648 0
168 0.599922 0
169 0.624435 0
170 0.452977 0
171 0.428488 0
172 0.41998 0
173 0.419555 0
174 0.466316 0
175 0.470523 0
176 0.430764 0
177 0.449657 0
178 0.420208 0
179 0.44167 0
180 0.442319 0
181 0.530035 0
182 0.430846 0
183 0.595497 0
184 0.434331 0
185 0.420485 0
186 0.440539 0
187 0.52078 0
188 0.562347 0
189 0.5035 0
190 0.441303 0
191 0.497214 0
192 0.426625 0
193 0.420533 0
194 0.463291 0
195 0.521527 0
196 0.427304 0
197 0.450255 0
198 0.51456 0
199 0.533931 0
200 0.470667 0
201 0.455083 0
202 0.42649 0
203 0.563852 0
204 0.450541 0
205 0.514518 0
206 0.50814 0
207 0.610939 0
208 0.450919 0
209 0.537902 0
210 0.472061 0
211 0.443594 0
212 0.540226 0
213 0.42777 0
214 0.419325 0
215 0.496041 0
216 0.438135 0
217 0.460698 0
218 0.447583 0
219 0.509865 0
220 0.497287 0
221 0.475316 0
222 0.426355 0
223 0.450311 0
224 0.458445 0
225 0.443707 0
226 0.443758 0
227 0.480519 0
228 0.446305 0
229 0.448873 0
230 0.452297 0
231 0.465302 0
232 0.419038 0
233 0.503778 0
234 0.443525 0
235 0.43372 0
236 0.496416 0
237 0.433714 0
238 0.568365 0
239 0.433619 0
240 0.461397 0
241 0.44362 0
242 0.49218 0
243 0.525918 0
244 0.476727 0
245 0.430081 0
246 0.425249 0
247 0.509053 0
248 0.553881 0
249 0.461154 0
250 0.483196 0
251 0.427622 0
252 0.410819 0
253 0.419011 0
254 0.434256 0
255 0.495838 0
256 0.444779 0
257 0.430958 0
258 0.43916 0
259 0.439999 0
260 0.458641 0
261 0.496839 0
262 0.449074 0
263 0.445956 0
264 0.476861 0
265 0.481849 0
266 0.417125 0
267 0.418969 0
268 0.417688 0
269 0.497419 0
270 0.435032 0
271 0.50487 0
272 0.60577 0
273 0.451495 0
274 0.469732 0
275 0.469199 0
276 0.487926 0
277 0.438504 0
278 0.468607 0
279 0.438215 0
280 0.42414 0
281 0.476371 0
282 0.688725 0
283 0.417447 0
284 0.465563 0
285 0.43474 0
286 0.501353 0
287 0.416204 0
288 0.410361 0
289 0.44185 0
290 0.427227 0
291 0.445073 0
292 0.441093 0
293 0.490842 0
294 0.559152 0
295 0.422565 0
296 0.497219 0
297 0.462337 0
298 0.451428 0
299 0.477131 0
300 0.453607 0
301 0.440528 0
302 0.48338 0
303 0.411335 0
304 0.531006 0
305 0.436364 0
306 0.428746 0
307 0.538562 0
308 0.463041 0
309 0.428451 0
310 0.497739 0
311 0.441344 0
312 0.431389 0
313 0.421316 0
314 0.484376 0
315 0.465292 0
316 0.410945 0
317 0.420635 0
318 0.430879 0
319 0.437099 0
320 0.476705 0
321 0.472436 0
322 0.46152 0
323 0.550549 0
324 0.415891 0
325 0.500648 0
326 0.528481 0
327 0.414959 0
328 0.438835 0
329 0.460209 0
330 0.578715 0
331 0.443007 0
332 0.419374 0
333 0.460338 0
334 0.443308 0
335 0.497836 0
336 0.433463 0
337 0.436534 0
338 0.411352 0
339 0.415104 0
340 0.433411 0
341 0.604252 0
342 0.540281 0
343 0.424913 0
344 0.422833 0
345 0.433076 0
346 0.417381 0
347 0.415596 0
348 0.486224 0
349 0.451396 0
350 0.481369 0
351 0.460743 0
352 0.417766 0
353 0.508775 0
354 0.477644 0
355 0.56013 0
356 0.412726 0
357 0.466053 0
358 0.435941 0
359 0.412089 0
360 0.550337 0
361 0.418811 0
362 0.456778 0
363 0.411093 0
364 0.439335 0
365 0.448518 0
366 0.603095 0
367 0.443384 0
368 0.424158 0
369 0.610753 0
370 0.434377 0
371 0.491192 0
372 0.428087 0
373 0.414497 0
374 0.423875 0
375 0.474142 0
376 0.450522 0
377 0.424572 0
378 0.449379 0
379 0.410404 0
380 0.496566 0
381 0.53755 0
382 0.510164 0
383 0.417443 0
384 0.529009 0
385 0.425535 0
386 0.431996 0
387 0.433819 0
388 0.460976 0
389 0.514946 0
390 0.446532 0
391 0.423534 0
392 0.541582 0
393 0.428249 0
394 0.448292 0
395 0.522899 0
396 0.413386 0
397 0.471598 0
398 0.444152 0
399 0.419613 0
400 0.445747 0
401 0.473652 0
402 0.412286 0
403 0.52906 0
404 0.470357 0
405 0.451133 0
406 0.422244 0
407 0.560537 0
408 0.442072 0
409 0.413246 0
410 0.42897 0
411 0.425778 0
412 0.444015 0
413 0.425786 0
414 0.423365 0
415 0.41591 0
416 0.412817 0
417 0.433562 0
418 0.416779 0
419 0.422316 0
