pointId Ascore actuallabel
0 0.500737 1
1 0.484208 0
2 0.483668 0
3 0.501414 0
4 0.488798 0
5 0.480602 0
6 0.493558 0
7 0.477294 0
8 0.533968 0
9 0.514546 0
10 0.493217 0
11 0.467629 0
12 0.485134 0
13 0.465082 0
14 0.477294 0
15 0.49438 0
16 0.560275 0
17 0.502883 0
18 0.488093 0
19 0.488726 0
20 0.475182 0
21 0.468325 0
22 0.489266 0
23 0.492289 0
24 0.533159 0
25 0.475636 0
26 0.552089 0
27 0.502739 0
28 0.479939 0
29 0.463783 0
30 0.474995 0
31 0.591243 0
32 0.471067 0
33 0.487905 0
34 0.49416 0
35 0.490382 0
36 0.481093 0
37 0.50963 0
38 0.550595 0
39 0.505987 0
40 0.489578 0
41 0.530884 0
42 0.493173 0
43 0.492289 0
44 0.486803 0
45 0.470002 0
46 0.493716 0
47 0.521593 0
48 0.462942 0
49 0.49531 0
50 0.464252 0
51 0.523561 0
52 0.495065 0
53 0.495522 0
54 0.492308 0
55 0.465509 0
56 0.497559 0
57 0.472154 0
58 0.522629 0
59 0.529164 0
60 0.501036 0
61 0.502044 0
62 0.48615 0
63 0.497501 0
64 0.481714 0
65 0.464328 0
66 0.486407 0
67 0.461423 0
68 0.479657 0
69 0.493695 0
70 0.511497 0
71 0.512478 0
72 0.491472 0
73 0.572235 0
74 0.543509 0
75 0.476922 0
76 0.46931 0
77 0.534182 0
78 0.484185 0
79 0.482923 0
80 0.52705 0
81 0.492743 0
82 0.463138 0
83 0.495216 0
84 0.473934 0
85 0.463052 0
86 0.48959 0
87 0.51027 0
88 0.483379 0
89 0.503217 0
90 0.527802 0
91 0.513567 0
92 0.461754 0
93 0.491841 0
94 0.486009 0
95 0.545903 0
96 0.490424 0
97 0.482094 0
98 0.535084 0
99 0.493677 0
100 0.476864 0
101 0.605912 0
102 0.472939 0
103 0.461549 0
104 0.493135 0
105 0.540943 0
106 0.464899 0
107 0.496128 0
108 0.467489 0
109 0.501698 0
110 0.539501 0
111 0.506724 0
112 0.499623 0
113 0.486993 0
114 0.468333 0
115 0.506446 0
116 0.50585 0
117 0.542242 0
118 0.581698 0
119 0.522033 0
120 0.572993 0
121 0.531704 0
122 0.580608 0
123 0.531899 0
124 0.523475 0
125 0.505016 0
126 0.4838 0
127 0.483436 0
128 0.49156 0
129 0.49627 0
130 0.481262 0
131 0.507054 0
132 0.48669 0
133 0.552049 0
134 0.487648 0
135 0.483178 0
136 0.55634 0
137 0.500868 0
138 0.490122 0
139 0.49673 0
140 0.508018 0
141 0.485264 0
142 0.484763 0
143 0.525847 0
144 0.555498 0
145 0.470462 0
146 0.509831 0
147 0.498595 0
148 0.477907 0
149 0.496616 0
150 0.484385 0
151 0.484654 0
152 0.463059 0
153 0.568373 0
154 0.4904 0
155 0.531301 0
156 0.552806 0
157 0.483973 0
158 0.466745 0
159 0.501967 0
160 0.543391 0
161 0.50111 0
162 0.494338 0
163 0.501688 0
164 0.541787 0
165 0.518558 0
166 0.539934 0
167 0.536679 0
168 0.632592 0
169 0.504226 0
170 0.533659 0
171 0.4782 0
172 0.490233 0
173 0.518183 0
174 0.492956 0
175 0.482724 0
176 0.503326 0
177 0.469902 0
178 0.522908 0
179 0.489617 0
180 0.509337 0
181 0.520825 0
182 0.527459 0
183 0.490913 0
184 0.488861 0
185 0.524377 0
186 0.484866 0
187 0.536352 0
188 0.473989 0
189 0.513514 0
190 0.509136 0
191 0.54242 0
192 0.50506 0
193 0.501514 0
194 0.467295 0
195 0.510786 0
196 0.49138 0
197 0.508946 0
198 0.519704 0
199 0.522194 0
200 0.498851 0
201 0.493814 0
202 0.519307 0
203 0.486636 0
204 0.503965 0
205 0.479506 0
206 0.468861 0
207 0.535368 0
208 0.489209 0
209 0.525641 0
210 0.557566 0
211 0.624716 0
212 0.475184 0
213 0.481271 0
214 0.528375 0
215 0.58627 0
216 0.483633 0
217 0.575142 0
218 0.470372 0
219 0.468601 0
220 0.475623 0
221 0.483649 0
222 0.46732 0
223 0.491185 0
