pointId Ascore actuallabel
0 0.427182 0
1 0.512247 1
2 0.402704 0
3 0.529113 1
4 0.463608 0
5 0.430531 1
6 0.478299 0
7 0.560839 1
8 0.444683 0
9 0.455452 1
10 0.463306 0
11 0.500795 1
12 0.415046 0
13 0.460312 1
14 0.405929 0
15 0.519435 1
16 0.386836 0
17 0.618371 1
18 0.419613 0
19 0.556183 1
20 0.407124 0
21 0.593441 1
22 0.393969 0
23 0.58549 1
24 0.395857 0
25 0.501173 1
26 0.484412 0
27 0.581323 1
28 0.492579 0
29 0.58723 1
30 0.418378 0
31 0.503988 1
32 0.415089 0
33 0.494308 1
34 0.444427 0
35 0.488286 1
36 0.38521 0
37 0.565904 1
38 0.389177 0
39 0.442495 1
40 0.446463 0
41 0.574186 1
42 0.443558 0
43 0.547505 1
44 0.42785 0
45 0.570253 1
46 0.406253 0
47 0.506283 1
48 0.388018 0
49 0.5336 1
50 0.433405 0
51 0.552759 1
52 0.502256 0
53 0.597324 1
54 0.398328 0
55 0.588173 1
56 0.411807 0
57 0.573833 1
58 0.393275 0
59 0.570212 1
60 0.41095 0
61 0.508887 1
62 0.44021 0
63 0.528619 1
64 0.417821 0
65 0.446156 1
66 0.388696 0
67 0.532727 1
68 0.482527 0
69 0.516407 1
70 0.434263 0
71 0.582116 1
72 0.45463 0
73 0.459121 1
74 0.435056 0
75 0.560175 1
76 0.432309 0
77 0.564034 1
78 0.514459 0
79 0.576237 1
80 0.461985 0
81 0.559621 1
82 0.44498 0
83 0.43112 1
84 0.387687 0
85 0.429458 1
86 0.390408 0
87 0.443255 1
88 0.39481 0
89 0.471336 1
90 0.428572 0
91 0.487228 1
92 0.404409 0
93 0.505662 1
94 0.396169 0
95 0.533583 1
96 0.477348 0
97 0.48694 0
98 0.566123 1
99 0.388201 0
100 0.555223 1
101 0.387738 0
102 0.462648 1
103 0.400891 0
104 0.486692 1
105 0.426455 0
106 0.452265 1
107 0.386911 0
108 0.48654 1
109 0.487503 0
110 0.482627 1
111 0.46558 0
112 0.473701 1
113 0.472177 0
114 0.478407 1
115 0.408335 0
116 0.412463 1
117 0.391809 0
118 0.510764 1
119 0.395686 0
120 0.434608 1
121 0.448069 0
122 0.49692 1
123 0.40074 0
124 0.527792 1
125 0.448243 0
126 0.456661 1
127 0.381488 0
128 0.4953 1
129 0.380899 0
130 0.452264 1
131 0.405586 0
132 0.512202 1
133 0.461739 0
134 0.49678 1
135 0.472873 0
136 0.566192 1
137 0.399021 0
138 0.429546 1
139 0.407778 0
140 0.56572 1
141 0.379522 0
142 0.457947 1
143 0.422117 0
144 0.393548 1
145 0.416828 0
146 0.459869 1
147 0.383139 0
148 0.446252 1
149 0.383759 0
150 0.480931 1
151 0.387121 0
152 0.418604 1
153 0.439935 0
154 0.422306 1
155 0.379089 0
156 0.422504 1
157 0.438346 0
158 0.417987 1
159 0.483789 0
160 0.420554 1
161 0.37681 0
162 0.563906 1
163 0.478293 0
164 0.545812 1
165 0.494961 0
166 0.591422 1
167 0.523319 0
168 0.450691 1
169 0.41236 0
170 0.578641 1
171 0.389154 0
172 0.550632 1
173 0.406856 0
174 0.475291 1
175 0.404906 0
176 0.545272 1
177 0.389884 0
178 0.42488 1
179 0.45892 0
180 0.508447 1
181 0.440276 0
182 0.59117 1
183 0.466727 0
184 0.546232 1
185 0.468702 0
186 0.561295 1
187 0.527667 0
188 0.591659 1
189 0.489852 0
190 0.558466 1
191 0.444447 0
192 0.51198 1
193 0.420202 0
194 0.581409 1
195 0.395075 0
196 0.518476 1
197 0.404316 0
198 0.53251 1
199 0.397278 0
200 0.514452 1
201 0.455211 0
202 0.578353 1
203 0.380454 0
204 0.590273 1
205 0.383673 0
206 0.599674 1
207 0.395989 0
208 0.49108 1
209 0.430866 0
210 0.552635 1
211 0.396534 0
212 0.534454 1
213 0.419497 0
214 0.503358 1
215 0.467154 0
216 0.52756 1
217 0.429159 0
218 0.570335 1
219 0.47585 0
220 0.592589 1
221 0.456054 0
222 0.541288 1
223 0.449313 0
224 0.528552 1
225 0.464624 0
226 0.551421 1
227 0.442254 0
228 0.508748 1
229 0.446454 0
230 0.469821 1
231 0.38068 0
232 0.591149 1
233 0.388779 0
234 0.439341 1
235 0.436413 0
236 0.432188 1
237 0.383112 0
238 0.414055 1
239 0.384928 0
240 0.505396 1
241 0.383784 0
242 0.493222 1
243 0.380934 0
244 0.461983 1
245 0.379091 0
246 0.496949 1
247 0.390075 0
248 0.462648 1
249 0.462481 0
250 0.529235 1
251 0.443655 0
252 0.525673 1
253 0.459484 0
254 0.449529 0
255 0.473101 0
256 0.388361 0
257 0.403369 0
258 0.39345 0
259 0.381043 0
260 0.400371 0
261 0.453086 0
262 0.473184 0
263 0.467772 0
264 0.501767 0
265 0.475047 0
266 0.458927 0
267 0.412113 0
268 0.408172 0
269 0.38659 0
270 0.379602 0
271 0.419178 0
272 0.39902 0
273 0.38746 0
274 0.397492 0
275 0.384156 0
276 0.388929 0
277 0.402038 0
278 0.458528 0
279 0.479013 0
280 0.469285 0
281 0.478782 0
282 0.464982 0
283 0.448302 0
284 0.4149 0
285 0.401439 0
286 0.405596 0
287 0.379131 0
288 0.393506 0
289 0.385481 0
290 0.406179 0
291 0.395468 0
292 0.38806 0
293 0.383014 0
294 0.392635 0
295 0.392913 0
296 0.472037 0
297 0.48902 0
298 0.490209 0
299 0.461316 0
300 0.480613 0
301 0.461384 0
302 0.384846 0
303 0.379438 0
304 0.383022 0
305 0.404929 0
306 0.407496 0
307 0.517644 0
308 0.478543 0
309 0.454692 0
310 0.484817 0
311 0.480575 0
312 0.385264 0
313 0.398867 0
314 0.449155 0
315 0.457046 0
316 0.459232 0
317 0.39992 0
318 0.385 0
319 0.37921 0
320 0.381168 0
321 0.378416 0
322 0.381771 0
323 0.403898 0
324 0.444287 0
325 0.446554 0
326 0.468603 0
327 0.487929 0
328 0.460273 0
329 0.379275 0
330 0.382095 0
331 0.382243 0
332 0.37882 0
333 0.384757 0
334 0.382237 0
335 0.384757 0
336 0.44741 0
337 0.473788 0
338 0.458221 0
339 0.476237 0
340 0.469481 0
341 0.383305 0
342 0.379152 0
343 0.394923 0
344 0.378487 0
345 0.417993 0
346 0.385348 0
347 0.38022 0
348 0.378034 0
349 0.380886 0
350 0.379107 0
