pointId Ascore actuallabel
0 0.455694 4
1 0.346123 1
2 0.358569 1
3 0.3698 1
4 0.496428 5
5 0.420814 4
6 0.354621 1
7 0.379816 4
8 0.410972 1
9 0.37111 1
10 0.345097 1
11 0.342042 1
12 0.403632 1
13 0.375247 1
14 0.361546 1
15 0.33881 1
16 0.345987 1
17 0.340443 1
18 0.636724 1
19 0.339689 1
20 0.493562 5
21 0.351956 1
22 0.370064 1
23 0.341301 1
24 0.405585 1
25 0.358165 4
26 0.366145 1
27 0.353827 1
28 0.357545 1
29 0.399829 1
30 0.408426 1
31 0.537577 5
32 0.375336 1
33 0.399208 1
34 0.435068 1
35 0.361164 4
36 0.344246 1
37 0.350339 1
38 0.345756 1
39 0.355003 1
40 0.369351 1
41 0.391475 4
42 0.405551 1
43 0.527004 5
44 0.375399 1
45 0.346903 1
46 0.337314 1
47 0.355348 4
48 0.350246 1
49 0.341041 1
50 0.365352 4
51 0.357353 1
52 0.349248 1
53 0.338714 1
54 0.350379 1
55 0.356252 1
56 0.34366 1
57 0.50314 5
58 0.499179 5
59 0.350104 1
60 0.340514 1
61 0.339154 1
62 0.349961 1
63 0.352588 4
64 0.421273 4
65 0.334603 1
66 0.342669 1
67 0.342501 1
68 0.343563 1
69 0.788767 1
70 0.33757 1
71 0.347402 1
72 0.363183 1
73 0.351993 1
74 0.402974 4
75 0.339323 1
76 0.338439 1
77 0.420076 4
78 0.333237 1
79 0.365925 1
80 0.342892 1
81 0.346059 1
82 0.344757 1
83 0.34774 1
84 0.353697 1
85 0.357825 1
86 0.394474 1
87 0.336957 1
88 0.370689 1
89 0.347956 1
90 0.349161 1
91 0.342542 1
92 0.338526 1
93 0.352302 1
94 0.341066 1
95 0.340064 1
96 0.366601 4
97 0.365599 1
98 0.350544 1
99 0.347711 1
100 0.359612 1
101 0.501434 5
102 0.363825 1
103 0.356503 1
104 0.371805 1
105 0.342972 1
106 0.357208 1
107 0.520126 5
108 0.353165 1
109 0.374731 4
110 0.335532 1
111 0.508531 5
112 0.382604 1
113 0.354447 1
114 0.420517 4
115 0.437335 4
116 0.33938 1
117 0.416567 4
118 0.346269 1
119 0.406422 1
120 0.354699 1
121 0.342841 1
122 0.336084 1
123 0.34791 1
124 0.342324 1
125 0.404764 1
126 0.34465 1
127 0.336187 1
128 0.343799 1
129 0.351816 1
130 0.429592 4
131 0.341886 1
132 0.389562 1
133 0.36011 1
134 0.349277 1
135 0.383018 1
136 0.356169 1
137 0.338985 1
