pointId Ascore actuallabel
0 1 0
1 1 0
2 1 0
3 0.896087 0
4 0.773189 0
5 0.745356 0
6 0.727495 0
7 0.715037 0
8 0.723402 0
9 0.740613 0
10 0.757594 0
11 0.776213 0
12 0.790879 0
13 0.805511 0
14 0.817233 0
15 0.828955 0
16 0.840677 0
17 0.852399 0
18 0.864121 0
19 0.875843 0
20 0.887565 0
21 0.89944 0
22 0.911781 0
23 0.923038 0
24 0.935503 0
25 0.956738 0
26 0.972338 0
27 1 0
28 1 0
29 1 0
30 1 0
31 1 0
32 1 0
33 0.896087 0
34 0.773189 0
35 0.745356 0
36 0.727495 0
37 0.715037 0
38 0.723402 0
39 0.740613 0
40 0.757594 0
41 0.776213 0
42 0.790879 0
43 0.805511 0
44 0.817233 0
45 0.828955 0
46 0.840677 0
47 0.852399 0
48 0.864121 0
49 0.875843 0
50 0.887565 0
51 0.89944 0
52 0.911781 0
53 0.923038 0
54 0.935503 0
55 0.956738 0
56 0.972338 0
57 1 0
58 1 0
59 1 0
60 1 0
61 1 0
62 1 0
63 0.896087 0
64 0.773189 0
65 0.745356 0
66 0.727495 0
67 0.715037 0
68 0.723402 0
69 0.740613 0
70 0.757594 0
71 0.776213 0
72 0.790879 0
73 0.805511 0
74 0.817233 0
75 0.828955 0
76 0.840677 0
77 0.852399 0
78 0.864121 0
79 0.875843 0
80 0.887565 0
81 0.89944 0
82 0.911781 0
83 0.923038 0
84 0.935503 0
85 0.956738 0
86 0.972338 0
87 1 0
88 1 0
89 1 0
90 1 0
91 1 0
92 1 0
93 0.896087 0
94 0.773189 0
95 0.745356 0
96 0.727495 0
97 0.715037 0
98 0.723402 0
99 0.740613 0
100 0.757594 0
101 0.776213 0
102 0.790879 0
103 0.805511 0
104 0.817233 0
105 0.828955 0
106 0.840677 0
107 0.852399 0
108 0.864121 0
109 0.875843 0
110 0.887565 0
111 0.89944 0
112 0.911781 0
113 0.923038 0
114 0.935503 0
115 0.956738 0
116 0.972338 0
117 1 0
118 1 0
119 1 0
120 0.79206 0
121 0.79206 0
122 0.79206 0
123 0.687013 0
124 0.560149 0
125 0.532844 0
126 0.515511 0
127 0.502696 0
128 0.510639 0
129 0.527443 0
130 0.544017 0
131 0.562229 0
132 0.576489 0
133 0.590713 0
134 0.602028 0
135 0.613344 0
136 0.624659 0
137 0.635974 0
138 0.683203 0
139 0.859369 0
140 0.876279 0
141 0.909099 0
142 0.939911 0
143 0.970006 0
144 0.984057 0
145 0.877021 0
