pointId Ascore actuallabel
0 0.93408 1
1 1.07784 0
2 0.902566 0
3 0.942524 0
4 0.885568 0
5 0.963669 0
6 0.937152 0
7 0.940609 0
8 1.01966 0
9 0.845766 0
10 0.846361 0
11 0.861421 0
12 0.908013 0
13 1.03564 0
14 0.873246 0
15 0.955502 0
16 1.04084 0
17 0.915082 0
18 0.884747 0
19 0.890348 0
20 1.02478 0
21 0.856013 0
22 0.93489 0
23 0.833735 0
24 0.851338 0
25 0.903617 0
26 0.955059 0
27 0.869438 0
28 0.865791 0
29 0.84913 0
30 0.850399 0
31 0.885348 0
32 0.870508 0
33 0.872797 0
34 0.926599 0
35 1.10105 0
36 0.843947 0
37 0.986547 0
38 0.851626 0
39 0.844884 0
40 0.920862 0
41 0.84455 0
42 0.847528 0
43 0.875476 0
44 0.843583 0
45 0.873989 0
46 1.006 0
47 0.863362 0
48 0.891938 0
49 0.859376 0
50 0.846936 0
51 0.85865 0
52 0.884437 0
53 0.937643 0
54 0.892205 0
55 0.930097 0
56 0.925337 0
57 0.963221 0
58 1.04605 0
59 0.868448 0
60 0.967807 0
61 0.873438 0
62 0.868976 0
63 0.886557 0
64 0.857631 0
65 0.991001 0
66 0.872324 0
67 0.917969 0
68 0.94236 0
69 0.869645 0
70 0.910961 0
71 0.860724 0
72 0.85908 0
73 0.848216 0
74 0.847218 0
75 0.904433 0
76 0.847726 0
77 0.872535 0
78 0.908055 0
79 0.992687 0
80 1.06423 0
81 0.886917 0
82 0.870871 0
83 0.865905 0
84 0.933899 0
85 0.864811 0
86 0.86828 0
87 0.887695 0
88 0.900775 0
89 0.889362 0
90 0.871903 0
91 0.851445 0
92 0.995128 0
93 0.855757 0
94 0.873916 0
95 0.869357 0
96 0.88628 0
97 0.958016 0
98 0.859354 0
99 0.861254 0
100 0.846893 0
101 0.843148 0
102 1.22838 0
103 1.18382 0
104 0.818463 0
105 1.06617 0
106 0.913983 0
107 0.858436 0
108 0.898977 0
109 0.881714 0
110 0.888267 0
111 0.887014 0
112 0.76411 0
113 0.934155 0
114 0.930035 0
115 0.850039 0
116 0.866031 0
117 1.04833 0
118 1.01527 0
119 0.892198 0
120 0.94451 0
121 1.01115 0
122 0.854491 0
123 0.898934 0
124 0.974144 0
125 0.926349 0
126 0.656696 0
127 0.942776 0
128 0.898396 0
129 0.914113 0
130 0.990651 0
131 0.899594 0
132 0.844924 0
133 0.846743 0
134 0.931229 0
135 0.868461 0
136 0.867046 0
137 1.03177 0
138 0.878941 0
139 0.85206 0
140 0.95437 0
141 0.842376 0
142 0.847845 0
143 0.860811 0
144 0.895563 0
145 0.910127 0
146 0.915356 0
147 0.918856 0
148 0.854552 0
149 0.8714 0
150 0.971065 0
151 1.03457 0
152 0.854332 0
153 0.948849 0
154 0.918197 0
155 0.867183 0
156 0.926837 0
157 0.8123 0
158 0.875346 0
159 1.03961 0
160 0.999879 0
161 0.934546 0
162 0.855466 0
163 0.852618 0
164 0.850497 0
165 0.850383 0
166 0.92662 0
167 0.92798 0
168 1.27544 0
169 1.18069 0
170 0.842229 0
171 0.867518 0
172 0.894811 0
173 0.910551 0
174 0.941488 0
175 0.86934 0
176 0.859985 0
177 1.00349 0
178 0.888334 0
179 1.0133 0
180 0.858122 0
181 0.910687 0
182 0.854595 0
183 0.926751 0
184 0.857557 0
185 0.902206 0
186 0.900682 0
187 0.889831 0
188 0.920778 0
189 0.90117 0
190 0.869719 0
191 1.03496 0
192 0.882264 0
193 0.91994 0
194 1.00328 0
195 0.862906 0
196 0.865087 0
197 0.863431 0
198 0.884124 0
199 0.818929 0
200 0.905183 0
201 0.84888 0
202 0.881507 0
203 1.14908 0
204 0.84729 0
205 0.82372 0
206 0.90693 0
207 1.2594 0
208 0.84863 0
209 0.982146 0
210 0.859672 0
211 1.00961 0
212 0.900701 0
213 0.863519 0
214 0.91671 0
215 0.869138 0
216 0.879764 0
217 0.885586 0
218 0.847056 0
219 0.871557 0
220 0.953762 0
221 0.845374 0
222 0.865688 0
223 0.844422 0
224 0.84655 0
225 0.856304 0
226 0.916267 0
227 0.923059 0
228 0.850724 0
229 1.02201 0
230 1.05894 0
231 0.869772 0
232 0.902165 0
233 0.859916 0
234 0.898731 0
235 0.879445 0
236 0.861709 0
237 0.96963 0
238 1.21534 0
239 0.917418 0
240 0.940822 0
241 0.865691 0
242 0.88489 0
243 0.877596 0
244 0.921557 0
245 0.87024 0
246 0.861941 0
247 1.13218 0
248 0.909577 0
249 0.917547 0
250 0.937441 0
251 0.875035 0
252 0.796039 0
253 0.814761 0
254 0.816393 0
255 0.784626 0
256 0.830436 0
257 0.792657 0
258 0.826091 0
259 0.792964 0
260 0.789793 0
261 0.813993 0
262 0.785749 0
263 0.789794 0
264 0.799523 0
265 0.785972 0
266 0.801227 0
267 0.842385 0
268 0.800726 0
269 0.922543 0
270 0.869101 0
271 0.900425 0
272 1.04333 0
273 0.82267 0
274 0.788082 0
275 0.912348 0
276 0.759886 0
277 0.807426 0
278 0.819073 0
279 0.848717 0
280 0.78034 0
281 0.783168 0
282 0.922879 0
283 0.76946 0
284 0.905236 0
285 0.812467 0
286 0.809744 0
287 0.776932 0
288 0.782401 0
289 0.809211 0
