pointId Ascore actuallabel
0 0.563399 0
1 0.570778 1
2 0.576244 0
3 0.721877 1
4 0.532433 0
5 0.275288 1
6 0.575727 0
7 0.683654 1
8 0.629017 0
9 0.347366 1
10 0.687699 0
11 0.920749 1
12 0.642669 0
13 0.793099 1
14 0.734354 0
15 0.601149 1
16 0.500075 0
17 0.938437 1
18 0.453894 0
19 0.849865 1
20 0.686222 0
21 0.747639 1
22 0.501223 0
23 0.795726 1
24 0.622797 0
25 0.982476 1
26 0.661056 0
27 0.767639 1
28 0.785166 0
29 0.968534 1
30 0.750055 0
31 0.929117 1
32 0.571163 0
33 0.616666 1
34 0.698759 0
35 0.798723 1
36 0.621618 0
37 0.846277 1
38 0.479357 0
39 0.572242 1
40 0.565487 0
41 0.932678 1
42 0.478607 0
43 0.844763 1
44 0.600365 0
45 0.645273 1
46 0.628574 0
47 0.581338 1
48 0.516424 0
49 0.533161 1
50 0.520255 0
51 0.886159 1
52 0.888251 0
53 0.906852 1
54 0.548321 0
55 0.808922 1
56 0.699361 0
57 0.94017 1
58 0.553573 0
59 0.631556 1
60 0.575193 0
61 0.444742 1
62 0.528614 0
63 0.770511 1
64 0.627103 0
65 0.69211 1
66 0.648809 0
67 0.964 1
68 0.699615 0
69 0.9725 1
70 0.700624 0
71 0.871207 1
72 0.517122 0
73 0.426619 1
74 0.646617 0
75 0.922676 1
76 0.58253 0
77 1 1
78 0.86874 0
79 0.878393 1
80 0.812044 0
81 1 1
82 0.493546 0
83 0.446153 1
84 0.47012 0
85 0.513637 1
86 0.479872 0
87 0.566976 1
88 0.422845 0
89 0.420813 1
90 0.508574 0
91 0.534002 1
92 0.473519 0
93 0.508673 1
94 0.44138 0
95 0.528692 1
96 0.533278 0
97 0.560671 0
98 0.724025 1
99 0.468456 0
100 0.691816 1
101 0.617266 0
102 0.297405 1
103 0.58041 0
104 0.534053 1
105 0.704278 0
106 0.428952 1
107 0.524004 0
108 0.538775 1
109 0.745586 0
110 0.549907 1
111 0.524798 0
112 0.546766 1
113 0.588161 0
114 0.406687 1
115 0.36756 0
116 0.551428 1
117 0.478445 0
118 0.499582 1
119 0.62102 0
120 0.460992 1
121 0.63322 0
122 0.4636 1
123 0.426351 0
124 0.655238 1
125 0.499346 0
126 0.562043 1
127 0.557237 0
128 0.489686 1
129 0.573422 0
130 0.525818 1
131 0.380236 0
132 0.850632 1
133 0.456108 0
134 0.696897 1
135 0.545858 0
136 0.640027 1
137 0.420228 0
138 0.263114 1
139 0.582547 0
140 0.593926 1
141 0.487602 0
142 0.727909 1
143 0.264004 0
144 0.481094 1
145 0.29189 0
146 0.357792 1
147 0.621304 0
148 0.694675 1
149 0.580035 0
150 0.403571 1
151 0.455812 0
152 0.263766 1
153 0.521848 0
154 0.262521 1
155 0.467218 0
156 0.254667 1
157 0.437664 0
158 0.328537 1
159 0.525145 0
160 0.245402 1
161 0.482348 0
162 1 1
163 0.545125 0
164 0.864407 1
165 0.68029 0
166 0.82463 1
167 0.675285 0
168 0.259208 1
169 0.567432 0
170 0.880233 1
171 0.612445 0
172 0.569381 1
173 0.741905 0
174 0.443372 1
175 0.739072 0
176 0.589952 1
177 0.508482 0
178 0.293624 1
179 0.646602 0
180 0.693318 1
181 0.569896 0
182 0.8447 1
183 0.540802 0
184 0.810273 1
185 0.561841 0
186 0.884843 1
187 0.850734 0
188 0.899269 1
189 0.824597 0
190 0.612808 1
191 0.398414 0
192 0.462048 1
193 0.509491 0
194 0.874616 1
195 0.517775 0
196 0.934955 1
197 0.676901 0
198 0.636118 1
199 0.595545 0
200 0.704135 1
201 0.638309 0
202 0.694337 1
203 0.584672 0
204 0.824849 1
205 0.514937 0
206 0.878496 1
207 0.489485 0
208 0.408369 1
209 0.72017 0
210 0.826781 1
211 0.420588 0
212 0.533092 1
213 0.695843 0
214 1 1
215 0.555289 0
216 1 1
217 0.473072 0
218 0.765325 1
219 0.523361 0
220 0.99 1
221 0.452881 0
222 1 1
223 0.504189 0
224 0.585612 1
225 0.514098 0
226 0.688868 1
227 0.539228 0
228 1 1
229 0.520646 0
230 0.297405 1
231 0.498696 0
232 0.769717 1
233 0.456922 0
234 0.571615 1
235 0.621836 0
236 0.374236 1
237 0.445849 0
238 0.29809 1
239 0.477578 0
240 0.426771 1
241 0.511301 0
242 0.4815 1
243 0.503176 0
244 0.610089 1
245 0.479281 0
246 0.453615 1
247 0.429047 0
248 0.297405 1
249 0.528394 0
250 0.624035 1
251 0.536952 0
252 0.500389 1
253 0.55004 0
254 0.425507 0
255 0.562914 0
256 0.456878 0
257 0.493683 0
258 0.468898 0
259 0.462171 0
260 0.414208 0
261 0.487953 0
262 0.574129 0
263 0.523329 0
264 0.554567 0
265 0.535718 0
266 0.46643 0
267 0.459274 0
268 0.509012 0
269 0.465489 0
270 0.577143 0
271 0.478199 0
272 0.476354 0
273 0.449961 0
274 0.446511 0
275 0.462829 0
276 0.454826 0
277 0.397912 0
278 0.503194 0
279 0.53248 0
280 0.530944 0
281 0.542653 0
282 0.555074 0
283 0.517841 0
284 0.293776 0
285 0.521327 0
286 0.416796 0
287 0.470371 0
288 0.510844 0
289 0.49191 0
290 0.434811 0
291 0.488372 0
292 0.514197 0
293 0.507685 0
294 0.485169 0
295 0.448631 0
296 0.554522 0
297 0.572319 0
298 0.566426 0
299 0.535368 0
300 0.574702 0
301 0.542758 0
302 0.530428 0
303 0.497048 0
304 0.514855 0
305 0.46039 0
306 0.43942 0
307 0.712219 0
308 0.536095 0
309 0.53654 0
310 0.579478 0
311 0.577798 0
312 0.710981 0
313 0.546674 0
314 0.51037 0
315 0.550105 0
316 0.554472 0
317 0.613442 0
318 0.463697 0
319 0.4864 0
320 0.655657 0
321 0.486446 0
322 0.561454 0
323 0.426051 0
324 0.531288 0
325 0.551305 0
326 0.57089 0
327 0.593774 0
328 0.561336 0
329 0.511123 0
330 0.494547 0
331 0.483058 0
332 0.461575 0
333 0.516727 0
334 0.569896 0
335 0.636141 0
336 0.543582 0
337 0.57034 0
338 0.445347 0
339 0.546049 0
340 0.405842 0
341 0.519967 0
342 0.479449 0
343 0.440902 0
344 0.460597 0
345 0.485272 0
346 0.519884 0
347 0.484315 0
348 0.483303 0
349 0.490441 0
350 0.489903 0
