pointId Ascore actuallabel
0 -nan 4
1 -nan 1
2 -nan 1
3 -nan 1
4 -nan 5
5 -nan 4
6 inf 1
7 -nan 4
8 -nan 1
9 -nan 1
10 -nan 1
11 -nan 1
12 -nan 1
13 -nan 1
14 -nan 1
15 -nan 1
16 -nan 1
17 -nan 1
18 -nan 1
19 -nan 1
20 -nan 5
21 -nan 1
22 -nan 1
23 -nan 1
24 -nan 1
25 -nan 4
26 -nan 1
27 inf 1
28 -nan 1
29 -nan 1
30 -nan 1
31 -nan 5
32 -nan 1
33 -nan 1
34 -nan 1
35 -nan 4
36 -nan 1
37 -nan 1
38 -nan 1
39 -nan 1
40 -nan 1
41 -nan 4
42 -nan 1
43 -nan 5
44 -nan 1
45 -nan 1
46 -nan 1
47 -nan 4
48 -nan 1
49 -nan 1
50 -nan 4
51 -nan 1
52 -nan 1
53 -nan 1
54 -nan 1
55 -nan 1
56 -nan 1
57 inf 5
58 inf 5
59 -nan 1
60 -nan 1
61 -nan 1
62 -nan 1
63 -nan 4
64 -nan 4
65 -nan 1
66 -nan 1
67 -nan 1
68 -nan 1
69 -nan 1
70 -nan 1
71 inf 1
72 -nan 1
73 -nan 1
74 inf 4
75 -nan 1
76 -nan 1
77 -nan 4
78 -nan 1
79 -nan 1
80 -nan 1
81 -nan 1
82 inf 1
83 -nan 1
84 -nan 1
85 -nan 1
86 -nan 1
87 -nan 1
88 -nan 1
89 -nan 1
90 -nan 1
91 -nan 1
92 -nan 1
93 -nan 1
94 -nan 1
95 -nan 1
96 -nan 4
97 -nan 1
98 -nan 1
99 -nan 1
100 -nan 1
101 -nan 5
102 -nan 1
103 -nan 1
104 -nan 1
105 -nan 1
106 -nan 1
107 -nan 5
108 -nan 1
109 -nan 4
110 -nan 1
111 -nan 5
112 -nan 1
113 -nan 1
114 -nan 4
115 -nan 4
116 -nan 1
117 -nan 4
118 -nan 1
119 -nan 1
120 inf 1
121 inf 1
122 -nan 1
123 -nan 1
124 -nan 1
125 -nan 1
126 -nan 1
127 -nan 1
128 -nan 1
129 -nan 1
130 -nan 4
131 -nan 1
132 -nan 1
133 -nan 1
134 -nan 1
135 -nan 1
136 -nan 1
137 -nan 1
138 -nan 1
139 -nan 1
140 -nan 1
141 -nan 1
142 -nan 1
143 -nan 1
144 -nan 1
145 -nan 1
146 inf 1
147 -nan 1
148 -nan 1
149 -nan 1
150 -nan 4
151 -nan 1
152 -nan 1
153 inf 1
154 -nan 1
155 -nan 4
156 inf 1
157 -nan 1
158 -nan 1
159 -nan 1
160 inf 1
161 -nan 4
162 -nan 1
163 -nan 1
164 -nan 1
165 -nan 1
166 -nan 1
167 -nan 1
168 -nan 1
169 -nan 1
170 -nan 4
171 -nan 1
172 -nan 1
173 inf 5
174 -nan 1
175 -nan 4
176 -nan 5
177 -nan 1
178 -nan 1
179 -nan 1
180 -nan 1
181 -nan 4
182 -nan 4
183 -nan 1
184 -nan 4
185 -nan 1
186 -nan 4
187 -nan 1
188 -nan 1
189 -nan 1
190 -nan 1
191 -nan 1
192 -nan 1
193 -nan 1
194 -nan 1
195 -nan 4
196 -nan 4
197 -nan 1
198 -nan 1
199 -nan 5
200 -nan 1
201 -nan 4
202 -nan 1
203 -nan 1
204 -nan 1
205 -nan 1
206 -nan 4
207 -nan 1
208 -nan 1
209 -nan 1
210 -nan 1
211 -nan 1
212 -nan 1
213 -nan 1
214 -nan 1
215 -nan 1
216 -nan 1
217 -nan 1
218 -nan 1
219 -nan 1
220 -nan 1
221 -nan 1
222 -nan 1
223 -nan 1
224 -nan 5
225 -nan 4
226 -nan 1
227 inf 4
228 -nan 1
229 -nan 1
230 -nan 1
231 -nan 1
232 -nan 4
233 -nan 1
234 -nan 1
235 inf 1
236 -nan 1
237 -nan 4
238 -nan 1
239 -nan 1
240 -nan 1
241 -nan 1
242 -nan 1
243 -nan 1
244 -nan 1
245 -nan 1
246 -nan 2
247 -nan 1
248 -nan 1
249 -nan 1
250 inf 1
251 -nan 1
252 -nan 4
253 -nan 1
254 -nan 1
255 -nan 1
256 inf 4
257 -nan 1
