pointId Ascore actuallabel
0 1.53366 0
1 1.51083 0
2 1.49337 0
3 1.47418 0
4 1.45595 0
5 1.43326 0
6 1.40867 0
7 1.38207 0
8 1.35341 0
9 1.32267 0
10 1.28991 0
11 1.2553 0
12 1.21921 0
13 1.18935 0
14 1.15245 0
15 1.11823 0
16 1.08755 0
17 1.06583 0
18 1.05367 0
19 1.0435 0
20 1.01695 0
21 0.932157 0
22 0.92582 0
23 0.894644 0
24 0.927413 0
25 0.960841 0
26 1.01734 0
27 1.05251 0
28 1.08029 0
29 1.10007 0
30 1.52073 0
31 1.51222 0
32 1.48852 0
33 1.46877 0
34 1.44701 0
35 1.42327 0
36 1.39742 0
37 1.37194 0
38 1.34143 0
39 1.30843 0
40 1.27288 0
41 1.23484 0
42 1.1945 0
43 1.15232 0
44 1.11278 0
45 1.0738 0
46 1.03574 0
47 1.00553 0
48 0.992145 0
49 0.989482 0
50 0.961402 0
51 0.869058 0
52 0.85501 0
53 0.825546 0
54 0.866645 0
55 0.936984 0
56 0.970403 0
57 0.998659 0
58 1.02219 0
59 1.05727 0
60 1.5263 0
61 1.50331 0
62 1.49243 0
63 1.47137 0
64 1.44207 0
65 1.41749 0
66 1.39061 0
67 1.36126 0
68 1.32923 0
69 1.29434 0
70 1.25908 0
71 1.21803 0
72 1.17382 0
73 1.12664 0
74 1.07701 0
75 1.02627 0
76 0.984064 0
77 0.943143 0
78 0.919845 0
79 0.923273 0
80 0.93716 0
81 0.822984 0
82 0.777371 0
83 0.744477 0
84 0.804685 0
85 0.87928 0
86 0.907355 0
87 0.934865 0
88 0.973942 0
89 1.01507 0
90 1.50525 0
91 1.50136 0
92 1.48574 0
93 1.46759 0
94 1.44539 0
95 1.42052 0
96 1.39294 0
97 1.35564 0
98 1.32251 0
99 1.28625 0
100 1.24662 0
101 1.20334 0
102 1.15617 0
103 1.1076 0
104 1.05235 0
105 0.993503 0
106 0.93269 0
107 0.881825 0
108 0.843898 0
109 0.854581 0
110 0.886453 0
111 0.756137 0
112 0.700888 0
113 0.672715 0
114 0.784722 0
115 0.805373 0
116 0.840122 0
117 0.879252 0
118 0.926721 0
119 0.975084 0
120 1.48619 0
121 1.47598 0
122 1.4701 0
123 1.45788 0
124 1.42578 0
125 1.40525 0
126 1.3904 0
127 1.35971 0
128 1.32604 0
129 1.28776 0
130 1.24144 0
131 1.19693 0
132 1.14814 0
133 1.09469 0
134 1.0362 0
135 0.972289 0
136 0.905475 0
137 0.83109 0
138 0.766551 0
139 0.782243 0
140 0.805695 0
141 0.559241 0
142 0.528984 0
143 0.564013 0
144 0.722891 0
145 0.732547 0
146 0.76147 0
147 0.830493 0
