pointId Ascore actuallabel
0 1.17521 1
1 0.0815324 0
2 0.43239 0
3 0.242509 0
4 0.0401967 0
5 0.592015 0
6 0.058991 0
7 0.168125 0
8 0.0626821 0
9 0.0588504 0
10 0.242713 0
11 0.111724 0
12 0.078671 0
13 0.0755163 0
14 0.0604185 0
15 0.0736529 0
16 0.128978 0
17 0.0866538 0
18 0.0802381 0
19 0.212724 0
20 0.0656849 0
21 0.301808 0
22 0.0718519 0
23 0.31772 0
24 0.0538119 0
25 0.0560275 0
26 0.140865 0
27 0.0630206 0
28 0.0830352 0
29 0.0683567 0
30 0.134664 0
31 0.0741064 0
32 0.0522335 0
33 0.280228 0
34 0.479027 0
35 0.204063 0
36 0.0666276 0
37 0.251086 0
38 0.0632681 0
39 0.0645823 0
40 0.0366456 0
41 0.0686295 0
42 0.068672 0
43 0.089253 0
44 0.0776122 0
45 0.110793 0
46 0.0781986 0
47 0.0428361 0
48 0.0594846 0
49 0.0893011 0
50 0.0993636 0
51 0.0728895 0
52 0.0750362 0
53 0.111351 0
54 0.0563519 0
55 0.114262 0
56 0.103562 0
57 0.141996 0
58 0.177606 0
59 0.0841819 0
60 0.0706083 0
61 0.394101 0
62 0.421755 0
63 0.188813 0
64 0.105463 0
65 0.0614483 0
66 0.132337 0
67 0.049829 0
68 0.0883285 0
69 0.0677849 0
70 0.0423557 0
71 0.0819269 0
72 0.0580042 0
73 0.0526249 0
74 0.0675194 0
75 0.727757 0
76 0.440717 0
77 0.0486059 0
78 0.0406586 0
79 0.141444 0
80 0.0845554 0
81 0.0495052 0
82 0.0545566 0
83 0.0770222 0
84 0.635662 0
85 0.0932993 0
86 0.658443 0
87 0.0591039 0
88 0.123987 0
89 0.0469484 0
90 0.0901065 0
91 0.0986486 0
92 0.0663798 0
93 0.0546289 0
94 0.0546475 0
95 0.0809953 0
96 0.412574 0
97 0.192439 0
98 0.0814368 0
99 0.107046 0
100 0.0812655 0
101 0.311623 0
102 0.747854 0
103 0.324168 0
104 0.466542 0
105 0.126514 0
106 0.114382 0
107 0.113656 0
108 0.0462813 0
109 0.183099 0
110 0.19757 0
111 0.164824 0
112 0.675641 0
113 0.0707896 0
114 0.0880179 0
115 0.076299 0
116 0.243576 0
117 0.154712 0
118 0.177273 0
119 0.319948 0
120 0.0618685 0
121 0.155112 0
122 0.0765142 0
123 0.0468802 0
124 0.426096 0
125 0.0698282 0
126 0.905734 0
127 0.0918246 0
128 0.313456 0
129 0.0634354 0
130 0.168655 0
131 0.0618786 0
132 0.0922758 0
133 0.0844479 0
134 0.0711516 0
135 0.233442 0
136 0.0868224 0
137 0.113356 0
138 0.281508 0
139 0.107487 0
140 0.0718542 0
141 0.0746929 0
142 0.0611932 0
143 0.053496 0
144 0.0804785 0
145 0.0463084 0
146 0.0575977 0
147 0.0506948 0
148 0.054016 0
149 0.101501 0
150 0.467554 0
151 0.111152 0
152 0.121365 0
153 0.0732662 0
154 0.0684152 0
155 0.0864118 0
156 0.124254 0
157 0.842866 0
158 0.0821848 0
159 0.12153 0
160 0.0682202 0
161 0.0878232 0
162 0.0967865 0
163 0.139885 0
164 0.0766145 0
165 0.0535999 0
166 0.077507 0
167 0.126217 0
168 0.725844 0
169 0.797182 0
170 0.0969843 0
171 0.0515872 0
172 0.0614043 0
173 0.0389817 0
174 0.0921584 0
175 0.0952544 0
176 0.0771642 0
177 0.0836966 0
178 0.0582051 0
179 0.0754306 0
180 0.102227 0
181 0.36564 0
182 0.0729113 0
183 0.625021 0
184 0.0732618 0
185 0.069405 0
186 0.0651927 0
187 0.287627 0
188 0.375452 0
189 0.323481 0
190 0.0647515 0
191 0.223475 0
192 0.0777689 0
193 0.0376102 0
194 0.0811864 0
195 0.407957 0
196 0.062333 0
197 0.0991945 0
198 0.373604 0
199 0.314461 0
200 0.0976499 0
201 0.086763 0
202 0.0614647 0
203 0.497483 0
204 0.0543053 0
205 0.282572 0
206 0.236295 0
207 0.717238 0
208 0.151484 0
209 0.26726 0
210 0.12124 0
211 0.0750722 0
212 0.377555 0
213 0.0569008 0
214 0.066258 0
215 0.147285 0
216 0.0600284 0
217 0.073468 0
218 0.0682146 0
219 0.248887 0
220 0.216679 0
221 0.292542 0
222 0.0689968 0
223 0.165193 0
224 0.120333 0
225 0.130617 0
226 0.0587563 0
227 0.143144 0
228 0.0811762 0
229 0.0939937 0
230 0.0865268 0
231 0.104545 0
232 0.0450306 0
233 0.237159 0
234 0.0643424 0
235 0.0599251 0
236 0.23558 0
237 0.0705162 0
238 0.525302 0
239 0.0496815 0
240 0.0874101 0
241 0.0839158 0
242 0.186958 0
243 0.319474 0
244 0.140026 0
245 0.0735486 0
246 0.054063 0
247 0.307665 0
248 0.330745 0
249 0.0787286 0
250 0.31015 0
251 0.0806875 0
252 0.079462 0
253 0.0609149 0
254 0.0621574 0
255 0.185686 0
256 0.14182 0
257 0.0586596 0
258 0.0944885 0
259 0.0780997 0
260 0.130892 0
261 0.22675 0
262 0.0703385 0
263 0.129865 0
264 0.156451 0
265 0.235752 0
266 0.0647936 0
267 0.0601722 0
268 0.051202 0
269 0.385065 0
270 0.0736533 0
271 0.327136 0
272 0.688332 0
273 0.09852 0
274 0.161062 0
275 0.153204 0
276 0.299604 0
277 0.0547263 0
278 0.116997 0
279 0.0999378 0
280 0.062866 0
281 0.174186 0
282 1.19692 0
283 0.0728097 0
284 0.118268 0
285 0.0938605 0
286 0.254062 0
287 0.0524543 0
288 0.0419186 0
289 0.069032 0
290 0.0516486 0
291 0.0752049 0
292 0.0705675 0
293 0.238943 0
294 0.633849 0
295 0.0605302 0
296 0.229517 0
297 0.16081 0
298 0.0967258 0
299 0.114343 0
300 0.100238 0
301 0.081114 0
302 0.202033 0
303 0.0511583 0
304 0.303235 0
305 0.069607 0
306 0.0558881 0
307 0.431866 0
308 0.159733 0
309 0.0552479 0
310 0.233103 0
311 0.0711156 0
312 0.0773456 0
313 0.0589474 0
314 0.192583 0
315 0.0983711 0
316 0.0394072 0
317 0.0609979 0
318 0.0603585 0
319 0.0810615 0
320 0.110409 0
321 0.0995874 0
322 0.0882512 0
323 0.43345 0
324 0.076651 0
325 0.249493 0
326 0.396401 0
327 0.0614364 0
328 0.090132 0
329 0.139916 0
330 0.684135 0
331 0.0832001 0
332 0.0614047 0
333 0.105653 0
334 0.0788217 0
335 0.358394 0
336 0.0518241 0
337 0.0920752 0
338 0.0525738 0
339 0.0565579 0
340 0.0959067 0
341 0.680756 0
342 0.448805 0
343 0.0724082 0
344 0.0803646 0
345 0.075307 0
346 0.0527752 0
347 0.0521226 0
348 0.145629 0
349 0.148715 0
350 0.139899 0
351 0.149832 0
352 0.0539283 0
353 0.278333 0
354 0.154816 0
355 0.741842 0
356 0.0448999 0
357 0.17925 0
358 0.0631253 0
359 0.0442525 0
360 0.38126 0
361 0.0575923 0
362 0.0917406 0
363 0.0546636 0
364 0.0541294 0
365 0.0721179 0
366 0.9614 0
367 0.0860447 0
368 0.0494353 0
369 0.83898 0
370 0.068525 0
371 0.248243 0
372 0.0643453 0
373 0.0647644 0
374 0.0625192 0
375 0.179571 0
376 0.137584 0
377 0.0599219 0
378 0.130897 0
379 0.0385946 0
380 0.264697 0
381 0.420567 0
382 0.232401 0
383 0.057201 0
