pointId Ascore actuallabel
0 0.282147 0
1 0.513038 1
2 0.256411 0
3 0.723803 1
4 0.407606 0
5 0.174326 1
6 0.343501 0
7 0.663846 1
8 0.165393 0
9 0.372676 1
10 0.183214 0
11 0.625425 1
12 0.13979 0
13 0.596358 1
14 0.239607 0
15 0.698867 1
16 0.0892437 0
17 1.13606 1
18 0.421617 0
19 0.934363 1
20 0.113533 0
21 0.905801 1
22 0.215101 0
23 0.912808 1
24 0.216901 0
25 0.526501 1
26 0.446725 0
27 0.869574 1
28 0.393051 0
29 1.29204 1
30 0.228018 0
31 0.804548 1
32 0.215912 0
33 0.5717 1
34 0.384233 0
35 0.643749 1
36 0.104375 0
37 0.952234 1
38 0.140941 0
39 0.421154 1
40 0.146094 0
41 1.03767 1
42 0.32269 0
43 0.843072 1
44 0.200948 0
45 0.825519 1
46 0.0668532 0
47 0.613475 1
48 0.116972 0
49 0.758249 1
50 0.408072 0
51 0.959856 1
52 0.485538 0
53 0.949608 1
54 0.104693 0
55 0.938122 1
56 0.258142 0
57 1.11169 1
58 0.133457 0
59 0.777873 1
60 0.187499 0
61 0.546046 1
62 0.18094 0
63 0.685484 1
64 0.452015 0
65 0.423446 1
66 0.202043 0
67 0.763733 1
68 0.453524 0
69 0.700037 1
70 0.231896 0
71 1.10546 1
72 0.143576 0
73 0.433957 1
74 0.103998 0
75 0.987771 1
76 0.13442 0
77 1.30605 1
78 0.495373 0
79 1.40291 1
80 0.431624 0
81 0.963326 1
82 0.0949024 0
83 0.460595 1
84 0.18551 0
85 0.406522 1
86 0.219029 0
87 0.436748 1
88 0.225309 0
89 0.499398 1
90 0.281971 0
91 0.670161 1
92 0.257733 0
93 0.55911 1
94 0.238881 0
95 0.531081 1
96 0.164802 0
97 0.155065 0
98 0.812586 1
99 0.133786 0
100 0.72665 1
101 0.0762635 0
102 0.0794407 1
103 0.225934 0
104 0.616428 1
105 0.306263 0
106 0.496576 1
107 0.131051 0
108 0.523701 1
109 0.471929 0
110 0.541086 1
111 0.156062 0
112 0.473337 1
113 0.144335 0
