pointId Ascore actuallabel
0 0.88374 0
1 0.710699 0
2 0.565729 0
3 0.549926 0
4 0.618671 0
5 0.688332 0
6 0.724859 0
7 0.699952 0
8 0.601196 1
9 0.626871 1
10 0.615372 1
11 0.599877 1
12 0.644229 1
13 0.665006 1
14 0.614951 1
15 0.670885 1
16 0.780172 1
17 0.800227 1
18 0.634914 0
19 0.533983 0
20 0.602847 0
21 0.621154 0
22 0.58316 0
23 0.640736 0
24 0.600348 0
25 0.607291 0
26 0.575868 0
27 0.558241 0
28 0.549572 0
29 0.522501 0
30 0.504968 0
31 0.536082 0
32 0.555159 0
33 0.565331 0
34 0.60424 0
35 0.60604 0
36 0.57885 0
37 0.546393 0
38 0.5264 0
39 0.553084 0
40 0.541994 0
41 0.560602 0
42 0.562925 0
43 0.890522 1
44 0.916689 1
45 0.992768 1
46 0.786978 0
47 0.683541 0
48 0.590167 0
49 0.602578 0
50 0.864239 1
51 0.801409 1
52 0.782158 1
53 0.788634 1
54 0.872176 0
55 0.818253 0
56 0.807905 0
57 0.732836 0
58 0.628184 0
59 0.707871 0
60 0.705062 0
61 0.67799 0
62 0.669729 0
63 0.59709 1
64 0.628681 1
65 0.625491 1
66 0.617758 1
67 0.57008 1
68 0.54781 1
69 0.545748 1
70 0.71947 1
71 0.894704 1
72 1.61293 1
73 1.43264 0
74 1.13514 0
75 0.556107 0
76 0.508142 0
77 0.51538 0
78 0.554457 0
79 0.588229 0
80 0.617035 0
81 0.622954 0
82 0.602705 0
83 0.552855 0
84 0.54586 0
85 0.547573 0
86 0.556827 0
87 0.529175 0
88 0.527828 0
89 0.540352 0
90 0.55865 0
91 0.548427 0
92 0.542375 0
93 0.540386 0
94 0.60291 0
95 0.622583 0
96 0.602025 0
97 0.597623 0
98 0.547592 0
99 0.538977 0
100 0.522921 0
101 0.555534 0
102 0.548857 0
103 0.855119 0
104 0.673985 0
105 0.745421 0
106 0.792001 0
107 0.602195 0
108 0.609642 0
109 0.700173 1
110 0.845974 1
111 0.807557 1
112 0.754569 1
113 0.758857 1
114 0.804337 1
115 0.875086 0
116 0.870988 0
117 0.87863 0
118 0.880617 0
119 0.800602 0
120 0.628337 0
121 0.623579 0
122 0.658048 0
123 0.613827 0
124 0.603328 1
125 0.590178 1
126 0.597045 1
127 0.558928 1
128 0.556326 1
129 0.546569 1
130 0.610052 1
131 0.622706 1
132 1.62823 1
133 1.67256 1
134 1.66234 1
135 1.54137 1
136 1.0842 0
137 0.69086 0
138 0.529526 0
139 0.518244 0
140 0.512691 0
141 0.495941 0
142 0.499047 0
143 0.532002 0
144 0.548378 0
145 0.511665 0
146 0.529609 0
147 0.549877 0
148 0.56055 0
149 0.536136 0
150 0.519946 0
151 0.523352 0
152 0.51818 0
153 0.518529 0
154 0.517493 0
155 0.544523 0
156 0.578827 0
157 0.544358 0
158 0.508485 0
159 0.501611 0
160 0.550291 0
161 0.600887 0
162 0.621716 0
163 0.60808 0
164 0.591656 0
165 0.615096 0
166 0.534008 0
167 0.529182 0
168 0.572499 0
169 0.514414 0
170 0.534892 0
171 0.571221 0
172 0.607701 0
173 0.659461 0
174 0.579376 0
175 0.674985 0
176 0.71562 0
177 0.810043 0
178 0.770517 0
179 0.606121 0
180 0.700076 1
181 0.801553 1
182 0.840243 1
183 0.833265 1
184 0.803678 1
185 0.807197 1
186 0.647833 0
187 0.850424 0
188 0.923099 0
189 0.872639 0
190 0.747204 0
191 0.630742 0
192 0.628127 0
193 0.619034 1
194 0.553409 1
195 0.555457 1
196 0.574413 1
197 0.578798 1
198 0.562009 1
199 0.550161 1
200 0.53376 1
201 0.573136 1
202 0.818138 1
203 1.2516 1
204 1.6592 1
205 1.57895 1
206 1.46384 1
207 1.12161 1
208 1.34123 1
209 1.47524 1
210 0.607323 0
211 0.520163 0
212 0.526803 0
213 0.574122 0
214 0.53503 0
215 0.506025 0
216 0.510784 0
217 0.543472 0
218 0.534312 0
219 0.522427 0
220 0.540366 0
221 0.546809 0
222 0.552384 0
223 0.558969 0
224 0.52046 0
225 0.52107 0
226 0.544695 0
227 0.587325 0
228 0.561948 0
229 0.60202 0
230 0.62823 0
231 0.598758 0
232 0.561398 0
233 0.570743 0
234 0.572391 0
235 0.597366 0
236 0.574602 0
237 0.678132 0
238 0.775791 0
239 0.70016 0
240 0.626658 0
241 0.6055 0
242 0.707252 0
243 0.72834 0
244 0.734916 1
245 0.802334 0
246 0.840018 1
247 0.790718 0
248 0.755211 0
249 0.915173 0
250 0.995568 0
251 0.969559 0
252 0.886144 0
253 0.633804 0
254 0.5656 0
255 0.592939 0
256 0.547977 1
257 0.563526 1
258 0.556207 1
259 0.544548 1
260 0.554655 1
261 0.555153 1
262 0.572832 1
263 0.702964 1
264 0.947814 1
265 1.2529 1
266 1.54323 1
267 1.68277 1
268 1.61143 1
269 1.28645 1
270 1.1047 1
271 1.01947 1
272 1.02994 1
273 1.6509 1
274 1.3167 0
275 0.571333 0
276 0.591161 0
277 0.596145 0
278 0.593801 0
279 0.572119 0
280 0.561907 0
281 0.581818 0
282 0.519806 0
283 0.519533 0
284 0.546537 0
285 0.554466 0
286 0.571549 0
287 0.561179 0
288 0.580845 0
289 0.553718 0
290 0.536047 0
291 0.545965 0
292 0.571477 0
293 0.528707 0
294 0.514884 0
295 0.594475 0
296 0.576337 0
297 0.600599 0
298 0.611943 0
299 0.656192 0
300 0.65092 0
301 0.574818 0
302 0.576625 0
303 0.608677 0
304 0.635116 0
305 0.610259 0
306 0.583749 0
307 0.58591 0
308 0.634262 0
309 0.614125 0
310 0.669506 0
311 0.651916 0
312 0.691234 0
313 0.761728 0
314 0.939665 0
315 0.921283 0
316 0.935198 0
317 0.902449 0
318 0.864993 0
319 0.609928 0
320 0.561381 0
321 0.542309 0
322 0.540031 0
323 0.575007 1
324 0.592569 1
325 0.587011 1
326 0.612912 1
327 0.910662 1
328 1.04499 1
329 1.70384 1
