pointId Ascore actuallabel
0 0.884952 1
1 0.234321 0
2 0.585176 0
3 0.158331 0
4 0.398345 0
5 0.364034 0
6 0.345055 0
7 0.188479 0
8 0.173887 0
9 0.39702 0
10 0.378571 0
11 0.634902 0
12 0.699384 0
13 0.362834 0
14 0.126918 0
15 0.289828 0
16 0.366987 0
17 0.563771 0
18 0.135923 0
19 0.23946 0
20 0.188294 0
21 0.250829 0
22 0.182813 0
23 0.343013 0
24 0.162191 0
25 0.466355 0
26 0.47098 0
27 0.128775 0
28 0.175086 0
29 0.364002 0
30 0.136224 0
31 0.570497 0
32 0.2736 0
33 0.308546 0
34 0.193277 0
35 0.098201 0
36 0.137414 0
37 0.3528 0
38 0.129497 0
39 0.253937 0
40 0.107731 0
41 0.517152 0
42 0.410565 0
43 0.677847 0
44 0.243396 0
45 0.637168 0
46 0.433379 0
47 0.121519 0
48 0.25227 0
49 0.48596 0
50 0.264943 0
51 0.380266 0
52 0.191094 0
53 0.299766 0
54 0.354416 0
55 0.513707 0
56 0.33521 0
57 0.54213 0
58 0.478845 0
59 0.145429 0
60 0.27596 0
61 0.389893 0
62 0.362573 0
63 0.154236 0
64 0.321621 0
65 0.298274 0
66 0.565016 0
67 0.0977848 0
68 0.12684 0
69 0.138814 0
70 0.142796 0
71 0.183596 0
72 0.405466 0
73 0.129607 0
74 0.410828 0
75 0.367862 0
76 0.437329 0
77 0.281226 0
78 0.33725 0
79 0.366014 0
80 0.184767 0
81 0.156174 0
82 0.395764 0
83 0.30222 0
84 0.67409 0
85 0.192866 0
86 0.570027 0
87 0.596256 0
88 0.361151 0
89 0.127233 0
90 0.314943 0
91 0.438174 0
92 0.339862 0
93 0.184549 0
94 0.374643 0
95 0.131224 0
96 0.474148 0
97 0.282757 0
98 0.340881 0
99 0.477736 0
100 0.380867 0
101 0.427783 0
102 0.571321 0
103 0.427554 0
104 0.283084 0
105 0.185077 0
106 0.334346 0
107 0.405032 0
108 0.191902 0
109 0.256112 0
110 0.331831 0
111 0.124697 0
112 0.444385 0
113 0.358007 0
114 0.448054 0
115 0.337446 0
116 0.239145 0
117 0.325437 0
118 0.608716 0
119 0.126765 0
120 0.219813 0
121 0.307914 0
122 0.115555 0
123 0.18958 0
124 0.194916 0
125 0.36417 0
126 0.846683 0
127 0.185403 0
128 0.36442 0
129 0.59959 0
130 0.178208 0
131 0.26737 0
132 0.411742 0
133 0.414066 0
134 0.304143 0
135 0.456147 0
136 0.234168 0
137 0.108393 0
138 0.149229 0
139 0.168783 0
140 0.170413 0
141 0.241635 0
142 0.345323 0
143 0.310746 0
144 0.42049 0
145 0.204703 0
146 0.344343 0
147 0.383942 0
148 0.325271 0
149 0.420743 0
150 0.181214 0
151 0.116875 0
152 0.256019 0
