pointId Ascore actuallabel
0 0.864812 0
1 0.733031 0
2 0.267332 0
3 0.211257 0
4 0.634758 0
5 0.739883 0
6 0.829225 0
7 0.848467 0
8 0.537039 1
9 0.61989 1
10 0.496326 1
11 0.567737 1
12 0.494525 1
13 0.414319 1
14 0.399666 1
15 0.518413 1
16 0.768144 1
17 0.779297 1
18 0.489405 0
19 0.298226 0
20 0.826559 0
21 0.905457 0
22 0.688674 0
23 0.839836 0
24 0.807716 0
25 0.718525 0
26 0.514753 0
27 0.424091 0
28 0.161782 0
29 0.332692 0
30 0.376872 0
31 0.218087 0
32 0.301705 0
33 0.306344 0
34 0.558899 0
35 0.662324 0
36 0.590959 0
37 0.31785 0
38 0.202513 0
39 0.236645 0
40 0.122675 0
41 0.261423 0
42 0.557264 0
43 0.789201 1
44 0.847458 1
45 0.81068 1
46 0.761579 0
47 0.394896 0
48 0.379763 0
49 0.48492 0
50 0.622478 1
51 0.594014 1
52 0.34301 1
53 0.41449 1
54 0.910272 0
55 0.905556 0
56 0.954964 0
57 0.862472 0
58 0.569457 0
59 0.775961 0
60 0.867112 0
61 0.80004 0
62 0.783365 0
63 0.408808 1
64 0.417889 1
65 0.434404 1
66 0.447042 1
67 0.403108 1
68 0.212362 1
69 0.203428 1
70 0.686579 1
71 0.671617 1
72 0.673503 1
73 0.688383 0
74 0.759087 0
75 0.334992 0
76 0.234223 0
77 0.168971 0
78 0.392823 0
79 0.687852 0
80 0.660814 0
81 0.497574 0
82 0.489703 0
83 0.398684 0
84 0.434011 0
85 0.272418 0
86 0.325354 0
87 0.23952 0
88 0.181011 0
89 0.297954 0
90 0.38418 0
91 0.579647 0
92 0.477853 0
93 0.184199 0
94 0.480642 0
95 0.644463 0
96 0.751047 0
97 0.556843 0
98 0.232761 0
99 0.160561 0
100 0.145565 0
101 0.253907 0
102 0.254234 0
103 0.620703 0
104 0.651644 0
105 0.714043 0
106 0.69507 0
107 0.391451 0
108 0.484188 0
109 0.566469 1
110 0.544025 1
111 0.397309 1
112 0.205583 1
113 0.247671 1
114 0.580977 1
115 0.912579 0
116 0.902579 0
117 0.975914 0
118 0.880732 0
119 0.875264 0
120 0.664509 0
121 0.617452 0
122 0.753801 0
123 0.51274 0
124 0.451175 1
125 0.454549 1
126 0.453347 1
127 0.279232 1
128 0.30621 1
129 0.153122 1
130 0.505336 1
131 0.358855 1
132 0.45273 1
133 0.466726 1
134 0.539979 1
135 0.623707 1
136 0.646046 0
137 0.597702 0
138 0.259275 0
139 0.234765 0
140 0.111452 0
141 0.156754 0
142 0.135421 0
143 0.187981 0
144 0.342541 0
145 0.184084 0
146 0.233209 0
