pointId Ascore actuallabel
0 0.798101 0
1 0.798101 0
2 0.798101 0
3 0.798101 0
4 0.798101 0
5 0.798101 0
6 0.777956 0
7 0.760502 0
8 0.740653 0
9 0.723493 0
10 0.721722 0
11 0.716408 0
12 0.713492 0
13 0.70613 0
14 0.700449 0
15 0.702921 0
16 0.701816 0
17 0.702072 0
18 0.704001 0
19 0.727265 0
20 0.733396 0
21 0.757462 0
22 0.785185 0
23 0.811284 0
24 0.836668 0
25 0.836668 0
26 0.836668 0
27 0.836668 0
28 0.836668 0
29 0.836668 0
30 0.798101 0
31 0.798101 0
32 0.798101 0
33 0.798101 0
34 0.798101 0
35 0.798101 0
36 0.777956 0
37 0.760502 0
38 0.740653 0
39 0.723493 0
40 0.721722 0
41 0.716408 0
42 0.713492 0
43 0.70613 0
44 0.700449 0
45 0.702921 0
46 0.701816 0
47 0.702072 0
48 0.704001 0
49 0.727265 0
50 0.733396 0
51 0.757462 0
52 0.785185 0
53 0.811284 0
54 0.836668 0
55 0.836668 0
56 0.836668 0
57 0.836668 0
58 0.836668 0
59 0.836668 0
60 0.798101 0
61 0.798101 0
62 0.798101 0
63 0.798101 0
64 0.798101 0
65 0.798101 0
66 0.777956 0
67 0.760502 0
68 0.740653 0
69 0.723493 0
70 0.721722 0
71 0.716408 0
72 0.713492 0
73 0.70613 0
74 0.700449 0
75 0.702921 0
76 0.701816 0
77 0.702072 0
78 0.704001 0
79 0.727265 0
80 0.733396 0
81 0.757462 0
82 0.785185 0
83 0.811284 0
84 0.836668 0
85 0.836668 0
86 0.836668 0
87 0.836668 0
88 0.836668 0
89 0.836668 0
90 0.798101 0
91 0.798101 0
92 0.798101 0
93 0.798101 0
94 0.798101 0
95 0.798101 0
96 0.777956 0
97 0.760502 0
98 0.740653 0
99 0.723493 0
100 0.721722 0
101 0.716408 0
102 0.713492 0
103 0.70613 0
104 0.700449 0
105 0.702921 0
106 0.701816 0
107 0.702072 0
108 0.704001 0
109 0.727265 0
110 0.733396 0
111 0.757462 0
112 0.785185 0
113 0.811284 0
114 0.836668 0
115 0.836668 0
116 0.836668 0
117 0.836668 0
118 0.836668 0
119 0.836668 0
120 0.798101 0
121 0.798101 0
122 0.798101 0
123 0.798101 0
124 0.798101 0
125 0.798101 0
126 0.777956 0
127 0.760502 0
128 0.740653 0
129 0.723493 0
130 0.721722 0
131 0.716408 0
132 0.713492 0
133 0.70613 0
134 0.700449 0
135 0.702921 0
136 0.701816 0
137 0.702072 0
138 0.704001 0
139 0.727265 0
140 0.733396 0
141 0.757462 0
142 0.785185 0
143 0.811284 0
144 0.836668 0
145 0.836668 0
146 0.836668 0
147 0.836668 0
148 0.836668 0
149 0.836668 0
150 0.798101 0
151 0.798101 0
152 0.798101 0
153 0.798101 0
154 0.798101 0
155 0.798101 0
156 0.777956 0
157 0.760502 0
158 0.740653 0
159 0.723493 0
160 0.721722 0
161 0.716408 0
162 0.713492 0
163 0.70613 0
164 0.700449 0
165 0.702921 0
166 0.701816 0
167 0.702072 0
168 0.704001 0
169 0.727265 0
170 0.733396 0
171 0.757462 0
172 0.785185 0
173 0.811284 0
174 0.836668 0
175 0.836668 0
176 0.836668 0
177 0.836668 0
178 0.836668 0
179 0.836668 0
180 0.798101 0
181 0.798101 0
182 0.798101 0
183 0.798101 0
184 0.798101 0
185 0.798101 0
186 0.777956 0
187 0.760502 0
188 0.740653 0
189 0.723493 0
190 0.721722 0
191 0.716408 0
192 0.713492 0
193 0.70613 0
194 0.700449 0
195 0.702921 0
196 0.701816 0
197 0.702072 0
198 0.704001 0
199 0.727265 0
200 0.733396 0
201 0.757462 0
202 0.785185 0
203 0.811284 0
204 0.836668 0
205 0.836668 0
206 0.836668 0
207 0.836668 0
208 0.836668 0
209 0.836668 0
210 0.774151 0
211 0.774151 0
212 0.774151 0
213 0.774151 0
214 0.774151 0
215 0.774151 0
216 0.754611 0
217 0.735824 0
218 0.697403 0
219 0.681021 0
220 0.6742 0
221 0.666481 0
222 0.658588 0
223 0.649359 0
224 0.642043 0
225 0.642731 0
226 0.639993 0
227 0.643811 0
228 0.645579 0
229 0.668063 0
230 0.681221 0
231 0.722575 0
232 0.761563 0
233 0.793817 0
234 0.820204 0
235 0.820204 0
236 0.820204 0
237 0.820204 0
238 0.820204 0
239 0.820204 0
240 0.732424 0
241 0.732424 0
242 0.732424 0
243 0.732424 0
244 0.732424 0
245 0.732424 0
246 0.712589 0
247 0.685086 0
248 0.642664 0
249 0.618852 0
250 0.603686 0
251 0.580407 0
252 0.569624 0
253 0.551804 0
254 0.545587 0
255 0.546913 0
256 0.542855 0
257 0.549348 0
258 0.556449 0
259 0.58918 0
260 0.611742 0
261 0.675695 0
262 0.725407 0
263 0.76043 0
264 0.798781 0
265 0.798781 0
266 0.798781 0
267 0.798781 0
268 0.798781 0
269 0.798781 0
270 0.703197 0
271 0.703197 0
272 0.703197 0
273 0.703197 0
274 0.703197 0
275 0.703197 0
276 0.681769 0
277 0.647455 0
278 0.565553 0
279 0.531912 0
280 0.516846 0
281 0.490463 0
282 0.467657 0
283 0.455471 0
284 0.448877 0
285 0.447111 0
286 0.443672 0
287 0.453418 0
288 0.465962 0
289 0.506562 0
290 0.530345 0
291 0.611753 0
292 0.68946 0
293 0.745519 0
294 0.790997 0
295 0.790997 0
296 0.790997 0
297 0.790997 0
298 0.790997 0
299 0.790997 0
300 0.69982 0
301 0.69982 0
302 0.69982 0
303 0.69982 0
304 0.69982 0
305 0.69982 0
306 0.677079 0
307 0.63438 0
308 0.54441 0
309 0.490601 0
310 0.472572 0
311 0.447776 0
312 0.424596 0
313 0.414525 0
314 0.407043 0
315 0.407271 0
316 0.404568 0
317 0.412827 0
318 0.429337 0
319 0.472423 0
320 0.504013 0
321 0.58878 0
322 0.675536 0
323 0.731779 0
324 0.779646 0
325 0.785084 0
326 0.785084 0
327 0.785084 0
328 0.785084 0
329 0.785084 0
330 0.687938 0
331 0.687938 0
