pointId Ascore actuallabel
0 0.11816 0
1 0.11816 0
2 0.11816 0
3 0.11816 0
4 0.11816 0
5 0.11816 0
6 0.105396 0
7 0.0869668 0
8 0.0894466 0
9 0.0956073 0
10 0.10467 0
11 0.106044 0
12 0.106063 0
13 0.107765 0
14 0.118691 0
15 0.116303 0
16 0.114251 0
17 0.10519 0
18 0.101312 0
19 0.101612 0
20 0.0985045 0
21 0.088647 0
22 0.0970531 0
23 0.103766 0
24 0.120891 0
25 0.125859 0
26 0.125859 0
27 0.125859 0
28 0.125859 0
29 0.125859 0
30 0.11816 0
31 0.11816 0
32 0.11816 0
33 0.11816 0
34 0.11816 0
35 0.11816 0
36 0.105396 0
37 0.0869668 0
38 0.0894466 0
39 0.0956073 0
40 0.10467 0
41 0.106044 0
42 0.106063 0
43 0.107765 0
44 0.118691 0
45 0.116303 0
46 0.114251 0
47 0.10519 0
48 0.101312 0
49 0.101612 0
50 0.0985045 0
51 0.088647 0
52 0.0970531 0
53 0.103766 0
54 0.120891 0
55 0.125859 0
56 0.125859 0
57 0.125859 0
58 0.125859 0
59 0.125859 0
60 0.11816 0
61 0.11816 0
62 0.11816 0
63 0.11816 0
64 0.11816 0
65 0.11816 0
66 0.105396 0
67 0.0869668 0
68 0.0894466 0
69 0.0956073 0
70 0.10467 0
71 0.106044 0
72 0.106063 0
73 0.107765 0
74 0.118691 0
75 0.116303 0
76 0.114251 0
77 0.10519 0
78 0.101312 0
79 0.101612 0
80 0.0985045 0
81 0.088647 0
82 0.0970531 0
83 0.103766 0
84 0.120891 0
85 0.125859 0
86 0.125859 0
87 0.125859 0
88 0.125859 0
89 0.125859 0
90 0.11816 0
91 0.11816 0
92 0.11816 0
93 0.11816 0
94 0.11816 0
95 0.11816 0
96 0.105396 0
97 0.0869668 0
98 0.0894466 0
99 0.0956073 0
100 0.10467 0
101 0.106044 0
102 0.106063 0
103 0.107765 0
104 0.118691 0
105 0.116303 0
106 0.114251 0
107 0.10519 0
108 0.101312 0
109 0.101612 0
110 0.0985045 0
111 0.088647 0
112 0.0970531 0
113 0.103766 0
114 0.120891 0
115 0.125859 0
116 0.125859 0
117 0.125859 0
118 0.125859 0
119 0.125859 0
120 0.11816 0
121 0.11816 0
122 0.11816 0
123 0.11816 0
124 0.11816 0
125 0.11816 0
126 0.105396 0
127 0.0869668 0
128 0.0894466 0
129 0.0956073 0
130 0.10467 0
131 0.106044 0
132 0.106063 0
133 0.107765 0
134 0.118691 0
135 0.116303 0
136 0.114251 0
137 0.10519 0
138 0.101312 0
139 0.101612 0
140 0.0985045 0
141 0.088647 0
142 0.0970531 0
143 0.103766 0
144 0.120891 0
145 0.125859 0
146 0.125859 0
147 0.125859 0
148 0.125859 0
149 0.125859 0
150 0.11816 0
151 0.11816 0
152 0.11816 0
153 0.11816 0
154 0.11816 0
155 0.11816 0
156 0.105396 0
157 0.0869668 0
158 0.0894466 0
159 0.0956073 0
160 0.10467 0
161 0.106044 0
162 0.106063 0
163 0.107765 0
164 0.118691 0
165 0.116303 0
166 0.114251 0
167 0.10519 0
168 0.101312 0
169 0.101612 0
170 0.0985045 0
171 0.088647 0
172 0.0970531 0
173 0.103766 0
174 0.120891 0
175 0.125859 0
176 0.125859 0
177 0.125859 0
178 0.125859 0
179 0.125859 0
180 0.11816 0
181 0.11816 0
182 0.11816 0
183 0.11816 0
184 0.11816 0
185 0.11816 0
186 0.105396 0
187 0.0869668 0
