pointId Ascore actuallabel
0 0.00799399 0
1 0.0125849 1
2 0.00690041 0
3 0.011228 1
4 0.00845965 0
5 0.00570023 1
6 0.0103739 0
7 0.0126818 1
8 0.00832898 0
9 0.00697734 1
10 0.0135009 0
11 0.0089945 1
12 0.00770279 0
13 0.0134854 1
14 0.016777 0
15 0.0235554 1
16 0.00542799 0
17 0.0222207 1
18 0.00805453 0
19 0.0458079 1
20 0.00726269 0
21 0.0274063 1
22 0.0050536 0
23 0.0159912 1
24 0.0063906 0
25 0.0245912 1
26 0.0246819 0
27 0.0286809 1
28 0.00994812 0
29 0.0262181 1
30 0.0182891 0
31 0.010845 1
32 0.00932423 0
33 0.015592 1
34 0.0288527 0
35 0.0134567 1
36 0.00529969 0
37 0.0235846 1
38 0.00529508 0
39 0.0194916 1
40 0.00590953 0
41 0.0170194 1
42 0.00628607 0
43 0.0327803 1
44 0.0122442 0
45 0.013509 1
46 0.00666086 0
47 0.0131319 1
48 0.00536607 0
49 0.014389 1
50 0.0108912 0
51 0.014277 1
52 0.0125705 0
53 0.0240499 1
54 0.00602392 0
55 0.0134496 1
56 0.00721171 0
57 0.0321422 1
58 0.00622606 0
59 0.0141329 1
60 0.00700988 0
61 0.0116712 1
62 0.00854335 0
63 0.0199801 1
64 0.00739574 0
65 0.00878691 1
66 0.00555071 0
67 0.0239924 1
68 0.0126712 0
69 0.0239359 1
70 0.00890015 0
71 0.0319171 1
72 0.00813107 0
73 0.0143877 1
74 0.00733212 0
75 0.0377872 1
76 0.00821924 0
77 0.0320787 1
78 0.0254577 0
79 0.014987 1
80 0.0139837 0
81 0.0195272 1
82 0.00619526 0
83 0.0067461 1
84 0.00560179 0
85 0.00936344 1
86 0.00485894 0
87 0.0139165 1
88 0.00638476 0
89 0.00914407 1
90 0.00604729 0
91 0.0177792 1
92 0.00800128 0
93 0.013872 1
94 0.00644415 0
95 0.0110549 1
96 0.0102832 0
97 0.00827751 0
98 0.015259 1
99 0.00499767 0
100 0.0204194 1
101 0.00535429 0
102 0.00543779 1
103 0.00820539 0
104 0.0112791 1
105 0.00728893 0
106 0.00742351 1
107 0.00543163 0
108 0.00782757 1
109 0.0145454 0
110 0.0135886 1
111 0.00936221 0
112 0.00827261 1
113 0.00730335 0
114 0.00767108 1
115 0.00560689 0
116 0.00881142 1
117 0.00744655 0
118 0.0121313 1
119 0.00507858 0
120 0.00990032 1
121 0.0110972 0
122 0.0122086 1
123 0.00834815 0
124 0.0169742 1
125 0.00693299 0
126 0.0100211 1
127 0.00567426 0
128 0.0134652 1
129 0.00543988 0
130 0.0106931 1
131 0.00614429 0
132 0.0121737 1
133 0.00868575 0
134 0.0111118 1
135 0.00702218 0
136 0.0207417 1
137 0.00515807 0
138 0.00724261 1
139 0.00769684 0
140 0.0213502 1
141 0.00538705 0
142 0.0105279 1
143 0.00509762 0
144 0.00625604 1
145 0.0058827 0
146 0.00925219 1
147 0.00526104 0
148 0.00817151 1
149 0.00503833 0
150 0.00992469 1
151 0.00468758 0
152 0.0048996 1
153 0.00725271 0
154 0.00505524 1
155 0.00488806 0
156 0.00496506 1
157 0.00678412 0
158 0.00585037 1
159 0.0126428 0
160 0.00498999 1
161 0.0048715 0
162 0.0242929 1
163 0.00794747 0
164 0.0180405 1
165 0.00852691 0
166 0.0171059 1
167 0.0127242 0
168 0.00523727 1
169 0.00726852 0
170 0.0355055 1
171 0.00609077 0
172 0.0148379 1
173 0.00578121 0
174 0.0230738 1
175 0.00592507 0
176 0.0149353 1
177 0.00626101 0
178 0.00521291 1
179 0.0117487 0
180 0.0329134 1
181 0.00814068 0
182 0.0224109 1
183 0.00848624 0
184 0.0154023 1
185 0.00763379 0
186 0.0323741 1
187 0.0116795 0
188 0.0178967 1
189 0.0117249 0
190 0.0151065 1
191 0.00805833 0
192 0.00898284 1
193 0.006498 0
194 0.0217294 1
195 0.00633873 0
196 0.0231644 1
197 0.00614284 0
198 0.012379 1
199 0.00606865 0
200 0.0244357 1
201 0.00909589 0
202 0.0332517 1
203 0.00497595 0
204 0.0196835 1
205 0.00660623 0
206 0.0225816 1
207 0.00714609 0
208 0.015871 1
209 0.00859417 0
210 0.0192229 1
211 0.00501863 0
212 0.0145189 1
213 0.00901408 0
214 0.0312798 1
215 0.00811937 0
216 0.0289798 1
217 0.00659248 0
218 0.0103975 1
219 0.00980557 0
220 0.0167859 1
221 0.00726919 0
222 0.035134 1
223 0.00640967 0
224 0.0118042 1
225 0.00669134 0
226 0.0134655 1
227 0.00688847 0
228 0.0139058 1
229 0.00659174 0
230 0.00606565 1
231 0.00498684 0
232 0.0128795 1
233 0.00764559 0
234 0.00879041 1
235 0.0102427 0
236 0.0070367 1
237 0.00542196 0
238 0.0055312 1
239 0.00597335 0
240 0.0103628 1
241 0.00591078 0
242 0.00956106 1
243 0.00528469 0
244 0.0122294 1
245 0.00494816 0
246 0.0119282 1
247 0.00584065 0
248 0.00543779 1
249 0.0071205 0
250 0.0132963 1
251 0.00678699 0
252 0.0214968 1
253 0.00881125 0
254 0.00998329 0
255 0.00839752 0
256 0.00620365 0
257 0.00551048 0
258 0.00575434 0
259 0.00488368 0
260 0.00575962 0
261 0.00827255 0
262 0.00973027 0
263 0.00654232 0
264 0.00935371 0
265 0.00683829 0
266 0.00874387 0
267 0.00751678 0
268 0.00653978 0
269 0.00677883 0
270 0.00499996 0
271 0.00805421 0
272 0.00998948 0
273 0.00632641 0
274 0.00531721 0
275 0.00687962 0
276 0.00555144 0
277 0.00594591 0
278 0.00726905 0
279 0.00678432 0
280 0.00666514 0
281 0.00783797 0
282 0.00788661 0
283 0.00766714 0
284 0.00573117 0
285 0.00676117 0
286 0.00563877 0
287 0.00498784 0
288 0.00613628 0
289 0.00495983 0
290 0.00840024 0
291 0.00665677 0
292 0.0076703 0
293 0.00504214 0
294 0.00574031 0
295 0.00647885 0
296 0.00800942 0
297 0.0094996 0
298 0.00949272 0
299 0.00727371 0
300 0.00751308 0
301 0.00707164 0
302 0.00520541 0
303 0.00503221 0
304 0.00620897 0
305 0.00590034 0
306 0.00557555 0
307 0.014241 0
308 0.00883253 0
309 0.00659821 0
310 0.00813484 0
311 0.0093619 0
312 0.0056067 0
313 0.00635405 0
314 0.00695699 0
315 0.00743682 0
316 0.00818688 0
317 0.00655857 0
318 0.00492257 0
319 0.00491475 0
320 0.00546831 0
321 0.00467376 0
322 0.00531679 0
323 0.00579331 0
324 0.00705457 0
325 0.00686495 0
326 0.00825461 0
327 0.0109283 0
328 0.0102692 0
329 0.00515802 0
330 0.00537849 0
331 0.0048481 0
332 0.00488649 0
333 0.00504544 0
334 0.004936 0
335 0.00562556 0
336 0.00673058 0
337 0.0118699 0
338 0.00865731 0
339 0.00817643 0
340 0.0086878 0
341 0.00530442 0
342 0.00469598 0
343 0.00795675 0
344 0.00477309 0
345 0.00798336 0
346 0.00534604 0
347 0.00495329 0
348 0.00501438 0
349 0.00472376 0
350 0.00512158 0
