pointId Ascore actuallabel
0 0.0321279 0
1 0.0105479 0
2 0.00626579 0
3 0.00813848 0
4 0.0114479 0
5 0.00912579 0
6 0.00644113 0
7 0.00700586 0
8 0.0113287 1
9 0.00656773 1
10 0.00586472 1
11 0.00627735 1
12 0.00660953 1
13 0.00755822 1
14 0.00846814 1
15 0.00919216 1
16 0.0122051 1
17 0.0106653 1
18 0.00647592 0
19 0.00617195 0
20 0.0055783 0
21 0.0197466 0
22 0.00795795 0
23 0.00694683 0
24 0.00612401 0
25 0.00591408 0
26 0.00645968 0
27 0.00613591 0
28 0.00636649 0
29 0.0063496 0
30 0.00618282 0
31 0.00652145 0
32 0.00653699 0
33 0.00620233 0
34 0.0068535 0
35 0.00795258 0
36 0.00695837 0
37 0.00568315 0
38 0.00616412 0
39 0.00585746 0
40 0.00632894 0
41 0.00914894 0
42 0.0082739 0
43 0.00742726 1
44 0.00961583 1
45 0.0188886 1
46 0.0102854 0
47 0.00885882 0
48 0.00646633 0
49 0.00741715 0
50 0.00993894 1
51 0.0108569 1
52 0.00808849 1
53 0.0136856 1
54 0.0300209 0
55 0.0164019 0
56 0.0251736 0
57 0.0119868 0
58 0.00608146 0
59 0.00630496 0
60 0.00608858 0
61 0.00632109 0
62 0.0164451 0
63 0.00578097 1
64 0.00639222 1
65 0.00622344 1
66 0.00599734 1
67 0.00574294 1
68 0.00628158 1
69 0.00664978 1
70 0.0110191 1
71 0.0115586 1
72 0.0258513 1
73 0.0180378 0
74 0.0128244 0
75 0.00604465 0
76 0.0061254 0
77 0.00581627 0
78 0.00753599 0
79 0.00697644 0
80 0.00925151 0
81 0.0176784 0
82 0.00783486 0
83 0.0060706 0
84 0.00736681 0
85 0.00634109 0
86 0.00608617 0
87 0.0156339 0
88 0.00563423 0
89 0.0066813 0
90 0.00730722 0
91 0.00702729 0
92 0.00574701 0
93 0.00835248 0
94 0.00657008 0
95 0.0100722 0
96 0.00734842 0
97 0.00801748 0
98 0.00594336 0
99 0.00632753 0
100 0.0057487 0
101 0.00627824 0
102 0.00605407 0
103 0.0114402 0
104 0.00761333 0
105 0.00952851 0
106 0.0107736 0
107 0.00634658 0
108 0.0070574 0
109 0.0077628 1
110 0.00949735 1
111 0.0111173 1
112 0.00782584 1
113 0.00798464 1
114 0.00892301 1
115 0.0388631 0
116 0.0395248 0
117 0.03479 0
118 0.0314151 0
119 0.023764 0
120 0.00809684 0
121 0.00569488 0
122 0.0061252 0
123 0.00656557 0
124 0.00619027 1
125 0.00609136 1
126 0.00755677 1
127 0.00626852 1
128 0.00794937 1
129 0.00555939 1
130 0.00571187 1
131 0.00709664 1
132 0.0342137 1
133 0.0263457 1
134 0.0168556 1
135 0.0313248 1
136 0.0169474 0
137 0.00618466 0
138 0.00550613 0
139 0.0058578 0
140 0.00579611 0
141 0.00560885 0
142 0.00550383 0
143 0.00544727 0
144 0.00575443 0
145 0.00636607 0
146 0.00626552 0
147 0.00811132 0
148 0.00703589 0
149 0.00600035 0
150 0.00577418 0
151 0.0058319 0
152 0.00610435 0
153 0.0072397 0
154 0.00651905 0
155 0.006296 0
156 0.00811563 0
157 0.00661255 0
158 0.00535065 0
159 0.00577498 0
160 0.00704661 0
161 0.00564679 0
162 0.00745529 0
163 0.0079015 0
164 0.00824362 0
165 0.00817964 0
166 0.0057684 0
167 0.0058472 0
168 0.00653537 0
169 0.0080473 0
170 0.00644786 0
171 0.00972457 0
172 0.00674654 0
173 0.0121419 0
174 0.00574988 0
175 0.00753921 0
176 0.00988862 0
177 0.0120868 0
178 0.0162019 0
179 0.00758635 0
180 0.00819117 1
181 0.00805086 1
182 0.0113066 1
183 0.0115244 1
184 0.00904098 1
185 0.0099749 1
186 0.0147862 0
187 0.0206245 0
188 0.0446145 0
189 0.0423394 0
190 0.00825276 0
191 0.00666377 0
192 0.00652473 0
193 0.00669539 1
194 0.00806379 1
195 0.00838873 1
196 0.00601745 1
197 0.00726495 1
198 0.00629737 1
199 0.006547 1
200 0.00626509 1
201 0.00707442 1
202 0.00777557 1
203 0.024671 1
204 0.0206032 1
205 0.0217404 1
206 0.026529 1
207 0.0102319 1
208 0.0222625 1
209 0.0265937 1
210 0.00677206 0
211 0.00577361 0
212 0.00629526 0
213 0.00572453 0
214 0.0059225 0
215 0.00572944 0
216 0.00784808 0
217 0.00580131 0
218 0.00677918 0
219 0.00744087 0
220 0.00574516 0
