pointId Ascore actuallabel
0 0.0216447 4
1 0.0025613 1
2 0.00289178 1
3 0.00271394 1
4 0.00570802 5
5 0.00330097 4
6 0.00311625 1
7 0.0133297 4
8 0.00525854 1
9 0.00391873 1
10 0.00247284 1
11 0.00259919 1
12 0.00444202 1
13 0.0035936 1
14 0.00293658 1
15 0.00278642 1
16 0.00239687 1
17 0.00265176 1
18 0.102558 1
19 0.00243856 1
20 0.0127874 5
21 0.00495465 1
22 0.00387963 1
23 0.00271136 1
24 0.010154 1
25 0.0052399 4
26 0.00467706 1
27 0.00861126 1
28 0.00832577 1
29 0.00852296 1
30 0.00498097 1
31 0.025297 5
32 0.00367756 1
33 0.00954381 1
34 0.0113807 1
35 0.00349896 4
36 0.00394545 1
37 0.00423609 1
38 0.00304431 1
39 0.00273283 1
40 0.00552033 1
41 0.00315667 4
42 0.0132917 1
43 0.00775908 5
44 0.00683417 1
45 0.00276314 1
46 0.00286314 1
47 0.00422102 4
48 0.00387654 1
49 0.00266988 1
50 0.00388462 4
51 0.00326273 1
52 0.0040738 1
53 0.00269409 1
54 0.00271021 1
55 0.00349671 1
56 0.0034759 1
57 0.0263673 5
58 0.0117429 5
59 0.00228137 1
60 0.00296414 1
61 0.00237541 1
62 0.00269258 1
63 0.00319273 4
64 0.00338334 4
65 0.00250148 1
66 0.00270564 1
67 0.00245715 1
68 0.0027668 1
69 0.237599 1
70 0.00228931 1
71 0.00303792 1
72 0.00252986 1
73 0.00330393 1
74 0.00438517 4
75 0.00246248 1
76 0.00267696 1
77 0.00345338 4
78 0.00219723 1
79 0.00321087 1
80 0.00251047 1
81 0.00334555 1
82 0.00290023 1
83 0.00259608 1
84 0.00335108 1
85 0.00930246 1
86 0.00705795 1
87 0.00272309 1
88 0.00291148 1
89 0.00312369 1
90 0.00322936 1
91 0.00298797 1
92 0.00230709 1
93 0.00910205 1
94 0.0030354 1
95 0.00242769 1
96 0.00520992 4
97 0.00307216 1
98 0.0027758 1
99 0.00317002 1
100 0.00324967 1
101 0.0125851 5
102 0.00427223 1
103 0.00341573 1
104 0.00421226 1
105 0.00269194 1
106 0.00512945 1
107 0.0122809 5
108 0.0025298 1
109 0.00397294 4
110 0.00257067 1
111 0.00913491 5
112 0.0100987 1
113 0.00305556 1
114 0.00394165 4
115 0.0162759 4
116 0.00239629 1
117 0.00352329 4
118 0.00279625 1
119 0.00433052 1
120 0.00369403 1
121 0.00314967 1
122 0.00248921 1
123 0.00313345 1
124 0.00465371 1
125 0.0135323 1
126 0.00339613 1
127 0.00295468 1
128 0.00243687 1
129 0.00333557 1
130 0.00352697 4
131 0.00261812 1
132 0.00512181 1
133 0.00489036 1
134 0.00247188 1
135 0.00270194 1
136 0.00382948 1
137 0.00290318 1
138 0.0216017 1
139 0.0025411 1
140 0.00315978 1
141 0.00368229 1
142 0.00437451 1
143 0.00284654 1
144 0.00589468 1
145 0.00252174 1
146 0.00322192 1
147 0.0042837 1
148 0.00231613 1
149 0.00234959 1
150 0.00294269 4
151 0.00385054 1
152 0.00235052 1
153 0.00922621 1
154 0.0022012 1
155 0.00402033 4
156 0.00618269 1
157 0.00290576 1
158 0.00257365 1
159 0.00429547 1
160 0.002483 1
161 0.0221814 4
162 0.00558527 1
163 0.0144981 1
164 0.0426567 1
165 0.0048622 1
166 0.0028691 1
167 0.00231739 1
168 0.0107967 1
169 0.00328281 1
170 0.00605109 4
171 0.00538447 1
172 0.00243602 1
173 0.0164601 5
174 0.00287105 1
175 0.0033725 4
176 0.0155301 5
177 0.0114327 1
178 0.0113495 1
179 0.00343728 1
180 0.00310951 1
181 0.012114 4
182 0.0131247 4
183 0.00380908 1
184 0.00841357 4
185 0.00512224 1
186 0.00325901 4
187 0.00306262 1
188 0.00306559 1
189 0.00948548 1
190 0.00456348 1
