pointId Ascore actuallabel
0 0.646584 0
1 0.652724 1
2 0.651902 0
3 0.681301 1
4 0.646584 0
5 0.645363 1
6 0.645363 0
7 0.695616 1
8 0.651491 0
9 0.645363 1
10 0.654784 0
11 0.704438 1
12 0.651902 0
13 0.6677 1
14 0.66017 0
15 0.668121 1
16 0.649033 0
17 0.797042 1
18 0.645769 0
19 0.749311 1
20 0.65561 0
21 0.753572 1
22 0.650261 0
23 0.751202 1
24 0.653959 0
25 0.707998 1
26 0.653547 0
27 0.76025 1
28 0.669807 0
29 0.781131 1
30 0.662671 0
31 0.715624 1
32 0.645363 0
33 0.654784 1
34 0.653959 0
35 0.676595 1
36 0.654371 0
37 0.733428 1
38 0.645363 0
39 0.652724 1
40 0.652313 0
41 0.762649 1
42 0.646991 0
43 0.699132 1
44 0.645363 0
45 0.715624 1
46 0.650671 0
47 0.66602 1
48 0.645363 0
49 0.668121 1
50 0.646991 0
51 0.750729 1
52 0.687338 0
53 0.762649 1
54 0.645363 0
55 0.726986 1
56 0.658508 0
57 0.777203 1
58 0.647807 0
59 0.707552 1
60 0.651902 0
61 0.655197 1
62 0.646584 0
63 0.708891 1
64 0.65561 0
65 0.660586 1
66 0.656023 0
67 0.753098 1
68 0.657264 0
69 0.7302 1
70 0.658508 0
71 0.762168 1
72 0.645363 0
73 0.645769 1
74 0.655197 0
75 0.738529 1
76 0.653136 0
77 0.770377 1
78 0.689507 0
79 0.747896 1
80 0.666859 0
81 0.758814 1
82 0.645363 0
83 0.646176 1
84 0.645363 0
85 0.647399 1
86 0.645363 0
87 0.653136 1
88 0.645363 0
89 0.651902 1
90 0.649442 0
91 0.650261 1
92 0.645363 0
93 0.645363 1
94 0.645363 0
95 0.652313 1
96 0.645363 0
97 0.646176 0
98 0.714272 1
99 0.645363 0
100 0.692991 1
101 0.651081 0
102 0.666859 1
103 0.646584 0
104 0.654371 1
105 0.657264 0
106 0.646991 1
107 0.645363 0
108 0.652313 1
109 0.66017 0
110 0.653959 1
111 0.644956 0
112 0.65561 1
113 0.646584 0
114 0.650261 1
115 0.645363 0
116 0.651081 1
117 0.645363 0
118 0.648216 1
119 0.653959 0
120 0.645363 1
121 0.657679 0
122 0.649442 1
123 0.645363 0
124 0.683881 1
125 0.647807 0
126 0.648624 1
127 0.650261 0
128 0.65561 1
129 0.651902 0
130 0.648624 1
131 0.645363 0
132 0.703995 1
133 0.645363 0
134 0.680014 1
135 0.64455 0
136 0.683881 1
137 0.645363 0
138 0.645363 1
139 0.647399 0
140 0.674466 1
141 0.645363 0
142 0.66602 1
143 0.645363 0
144 0.645363 1
145 0.645363 0
146 0.646584 1
147 0.657264 0
148 0.665181 1
149 0.652313 0
150 0.645363 1
151 0.645363 0
152 0.645363 1
153 0.644956 0
154 0.645363 1
155 0.645363 0
156 0.645363 1
157 0.645363 0
158 0.645363 1
159 0.646584 0
160 0.645363 1
161 0.645363 0
162 0.764092 1
163 0.646176 0
164 0.719694 1
165 0.653959 0
166 0.72928 1
167 0.659754 0
168 0.661836 1
169 0.650671 0
170 0.759771 1
171 0.657264 0
172 0.698251 1
173 0.663088 0
174 0.645363 1
175 0.663088 0
176 0.68302 1
177 0.648216 0
178 0.645363 1
179 0.651902 0
180 0.68173 1
181 0.646584 0
182 0.746013 1
183 0.645363 0
184 0.73066 1
185 0.645769 0
186 0.745073 1
187 0.680872 0
188 0.771348 1
189 0.677448 0
190 0.724243 1
191 0.645363 0
192 0.649442 1
193 0.646584 0
194 0.741327 1
195 0.645363 0
196 0.706216 1
197 0.65561 0
198 0.689941 1
199 0.648624 0
200 0.71924 1
201 0.651902 0
202 0.695178 1
203 0.650261 0
204 0.751202 1
205 0.646176 0
206 0.76313 1
207 0.646176 0
208 0.646584 1
209 0.658923 0
210 0.754523 1
211 0.645363 0
212 0.681301 1
213 0.662253 0
214 0.754523 1
215 0.645363 0
216 0.761688 1
217 0.645363 0
218 0.73389 1
219 0.645363 0
220 0.785574 1
221 0.645363 0
222 0.777693 1
223 0.645363 0
224 0.70178 1
225 0.645363 0
226 0.711577 1
227 0.644956 0
228 0.76025 1
229 0.649442 0
230 0.662253 1
231 0.645363 0
232 0.756904 1
233 0.645363 0
234 0.650671 1
235 0.652724 0
236 0.645363 1
237 0.645363 0
238 0.645363 1
239 0.645363 0
240 0.649851 1
241 0.645363 0
242 0.650261 1
243 0.645363 0
244 0.654371 1
245 0.645363 0
246 0.651491 1
247 0.645363 0
248 0.666859 1
249 0.651902 0
250 0.690376 1
251 0.644956 0
252 0.66017 1
253 0.645363 0
254 0.646991 0
255 0.646176 0
256 0.645363 0
257 0.645363 0
258 0.645363 0
259 0.645363 0
260 0.645363 0
261 0.645363 0
262 0.650671 0
263 0.645363 0
264 0.646176 0
265 0.645363 0
266 0.645769 0
267 0.645363 0
268 0.646584 0
269 0.645363 0
270 0.649851 0
271 0.645363 0
272 0.645363 0
273 0.645363 0
274 0.645363 0
275 0.645363 0
276 0.645363 0
277 0.645363 0
278 0.645363 0
279 0.646176 0
280 0.64455 0
281 0.645363 0
282 0.64455 0
283 0.644956 0
284 0.645363 0
285 0.649033 0
286 0.645363 0
287 0.645363 0
288 0.645363 0
289 0.645363 0
290 0.645363 0
291 0.645363 0
292 0.645363 0
293 0.645363 0
294 0.645363 0
295 0.645363 0
296 0.645363 0
297 0.647807 0
298 0.646584 0
299 0.644956 0
300 0.644956 0
301 0.64455 0
302 0.646584 0
303 0.645363 0
304 0.646176 0
305 0.645363 0
306 0.645363 0
307 0.672768 0
308 0.645769 0
309 0.644956 0
310 0.644956 0
311 0.64455 0
312 0.663088 0
313 0.647399 0
314 0.644956 0
315 0.644956 0
316 0.644956 0
317 0.654371 0
318 0.645363 0
319 0.645363 0
320 0.657264 0
321 0.645363 0
322 0.650671 0
323 0.645363 0
324 0.644956 0
325 0.644956 0
326 0.644956 0
327 0.658923 0
328 0.647807 0
329 0.646176 0
330 0.645363 0
331 0.645363 0
332 0.645363 0
333 0.646991 0
334 0.652313 0
335 0.656023 0
336 0.644956 0
337 0.645769 0
338 0.645769 0
339 0.645363 0
340 0.645363 0
341 0.649033 0
342 0.645363 0
343 0.645363 0
344 0.645363 0
345 0.645363 0
346 0.647399 0
347 0.645363 0
348 0.645363 0
349 0.645363 0
350 0.645363 0
