pointId Ascore actuallabel
0 0.695226 0
1 0.695226 0
2 0.695226 0
3 0.695226 0
4 0.695226 0
5 0.678081 0
6 0.66016 0
7 0.647087 0
8 0.62286 0
9 0.639545 0
10 0.6469 0
11 0.646978 0
12 0.641117 0
13 0.63125 0
14 0.64277 0
15 0.652403 0
16 0.656289 0
17 0.648883 0
18 0.648201 0
19 0.650448 0
20 0.654583 0
21 0.662693 0
22 0.662686 0
23 0.651517 0
24 0.655029 0
25 0.689279 0
26 0.689279 0
27 0.689279 0
28 0.689279 0
29 0.689279 0
30 0.695226 0
31 0.695226 0
32 0.695226 0
33 0.695226 0
34 0.695226 0
35 0.678081 0
36 0.66016 0
37 0.647087 0
38 0.62286 0
39 0.639545 0
40 0.6469 0
41 0.646978 0
42 0.641117 0
43 0.63125 0
44 0.64277 0
45 0.652403 0
46 0.656289 0
47 0.648883 0
48 0.648201 0
49 0.650448 0
50 0.654583 0
51 0.662693 0
52 0.662686 0
53 0.651517 0
54 0.655029 0
55 0.689279 0
56 0.689279 0
57 0.689279 0
58 0.689279 0
59 0.689279 0
60 0.695226 0
61 0.695226 0
62 0.695226 0
63 0.695226 0
64 0.695226 0
65 0.678081 0
66 0.66016 0
67 0.647087 0
68 0.62286 0
69 0.639545 0
70 0.6469 0
71 0.646978 0
72 0.641117 0
73 0.63125 0
74 0.64277 0
75 0.652403 0
76 0.656289 0
77 0.648883 0
78 0.648201 0
79 0.650448 0
80 0.654583 0
81 0.662693 0
82 0.662686 0
83 0.651517 0
84 0.655029 0
85 0.689279 0
86 0.689279 0
87 0.689279 0
88 0.689279 0
89 0.689279 0
90 0.695226 0
91 0.695226 0
92 0.695226 0
93 0.695226 0
94 0.695226 0
95 0.678081 0
96 0.66016 0
97 0.647087 0
98 0.62286 0
99 0.639545 0
100 0.6469 0
101 0.646978 0
102 0.641117 0
103 0.63125 0
104 0.64277 0
105 0.652403 0
106 0.656289 0
107 0.648883 0
108 0.648201 0
109 0.650448 0
110 0.654583 0
111 0.662693 0
112 0.662686 0
113 0.651517 0
114 0.655029 0
115 0.689279 0
116 0.689279 0
117 0.689279 0
118 0.689279 0
119 0.689279 0
120 0.695226 0
121 0.695226 0
122 0.695226 0
123 0.695226 0
124 0.695226 0
125 0.678081 0
126 0.66016 0
127 0.647087 0
128 0.62286 0
129 0.639545 0
130 0.6469 0
131 0.646978 0
132 0.641117 0
133 0.63125 0
134 0.64277 0
135 0.652403 0
136 0.656289 0
137 0.648883 0
138 0.648201 0
139 0.650448 0
140 0.654583 0
141 0.662693 0
142 0.662686 0
143 0.651517 0
144 0.655029 0
145 0.689279 0
146 0.689279 0
147 0.689279 0
148 0.689279 0
149 0.689279 0
150 0.695226 0
151 0.695226 0
152 0.695226 0
153 0.695226 0
154 0.695226 0
155 0.678081 0
156 0.66016 0
157 0.647087 0
158 0.62286 0
159 0.639545 0
160 0.6469 0
161 0.646978 0
162 0.641117 0
163 0.63125 0
164 0.64277 0
165 0.652403 0
166 0.656289 0
167 0.648883 0
168 0.648201 0
169 0.650448 0
170 0.654583 0
171 0.662693 0
172 0.662686 0
173 0.651517 0
174 0.655029 0
175 0.689279 0
176 0.689279 0
177 0.689279 0
178 0.689279 0
179 0.689279 0
180 0.695226 0
181 0.695226 0
182 0.695226 0
183 0.695226 0
184 0.695226 0
185 0.678081 0
186 0.66016 0
187 0.647087 0
188 0.62286 0
189 0.639545 0
190 0.6469 0
191 0.646978 0
192 0.641117 0
193 0.63125 0
194 0.64277 0
195 0.652403 0
196 0.656289 0
197 0.648883 0
198 0.648201 0
199 0.650448 0
200 0.654583 0
201 0.662693 0
202 0.662686 0
203 0.651517 0
204 0.655029 0
205 0.689279 0
206 0.689279 0
207 0.689279 0
208 0.689279 0
209 0.689279 0
210 0.693794 0
211 0.693794 0
212 0.693794 0
213 0.693794 0
214 0.693794 0
215 0.676685 0
216 0.658801 0
217 0.645755 0
218 0.620418 0
219 0.637625 0
220 0.644958 0
221 0.645036 0
222 0.639193 0
223 0.629753 0
224 0.641245 0
225 0.650855 0
226 0.654732 0
227 0.647343 0
228 0.647274 0
229 0.649518 0
230 0.653647 0
231 0.661746 0
232 0.662268 0
233 0.651517 0
234 0.655029 0
235 0.689279 0
236 0.689279 0
237 0.689279 0
238 0.689279 0
239 0.689279 0
240 0.670232 0
241 0.670232 0
242 0.670232 0
243 0.670232 0
244 0.670232 0
245 0.65106 0
246 0.631863 0
247 0.618376 0
248 0.592124 0
249 0.610019 0
250 0.618925 0
251 0.617662 0
252 0.608675 0
253 0.59377 0
254 0.604559 0
255 0.611186 0
256 0.617775 0
257 0.608694 0
258 0.605289 0
259 0.605155 0
260 0.617158 0
261 0.626733 0
262 0.629018 0
263 0.623222 0
264 0.626039 0
265 0.662696 0
266 0.662696 0
267 0.662696 0
268 0.662696 0
269 0.662696 0
270 0.632542 0
271 0.632542 0
272 0.632542 0
273 0.632542 0
274 0.632542 0
275 0.611581 0
276 0.587686 0
277 0.569596 0
278 0.534204 0
279 0.551353 0
280 0.565732 0
281 0.564786 0
282 0.550398 0
283 0.537151 0
284 0.542294 0
285 0.550911 0
286 0.551214 0
287 0.540957 0
288 0.528386 0
289 0.530023 0
290 0.543247 0
291 0.55204 0
292 0.555218 0
293 0.549438 0
294 0.554327 0
295 0.605339 0
296 0.605339 0
297 0.605339 0
298 0.605339 0
299 0.605339 0
300 0.608134 0
301 0.608134 0
302 0.608134 0
303 0.608134 0
304 0.608134 0
305 0.582277 0
306 0.556605 0
307 0.534604 0
308 0.489828 0
309 0.506594 0
310 0.519266 0
311 0.520177 0
312 0.504513 0
313 0.488661 0
314 0.495462 0
315 0.510229 0
316 0.510593 0
317 0.504897 0
318 0.490499 0
319 0.492348 0
320 0.502188 0
321 0.514078 0
322 0.517072 0
323 0.505325 0
324 0.512571 0
325 0.569875 0
326 0.569875 0
327 0.569875 0
328 0.569875 0
329 0.569875 0
330 0.614014 0
331 0.614014 0
332 0.614014 0
333 0.614014 0
334 0.614014 0
335 0.583049 0
336 0.555498 0
337 0.528842 0
338 0.488093 0
339 0.494028 0
340 0.509067 0
341 0.513539 0
342 0.493193 0
343 0.482021 0
344 0.482996 0
345 0.497148 0
346 0.494259 0
347 0.485468 0
348 0.47309 0
349 0.478637 0
350 0.487256 0
351 0.501686 0
352 0.504875 0
353 0.496047 0
354 0.509446 0
355 0.556927 0
356 0.556927 0
357 0.556927 0
358 0.556927 0
359 0.556927 0
360 0.615926 0
361 0.615926 0
362 0.615926 0
363 0.615926 0
364 0.615926 0
365 0.579829 0
366 0.550785 0
367 0.523518 0
368 0.49422 0
369 0.486571 0
370 0.499714 0
371 0.505787 0
372 0.486879 0
373 0.481513 0
374 0.477695 0
375 0.490628 0
376 0.491057 0
377 0.483525 0
378 0.478786 0
379 0.484764 0
380 0.490103 0
381 0.503289 0
382 0.501364 0
383 0.495538 0
384 0.516575 0
385 0.558506 0
386 0.558506 0
387 0.558506 0
388 0.558506 0
389 0.558506 0
390 0.614035 0
391 0.614035 0
392 0.614035 0
393 0.614035 0
394 0.614035 0
395 0.571616 0
396 0.544219 0
397 0.517565 0
398 0.497641 0
399 0.484595 0
400 0.48865 0
401 0.494728 0
402 0.478866 0
403 0.483569 0
404 0.479466 0
405 0.48611 0
406 0.485571 0
407 0.47881 0
408 0.479086 0
409 0.482974 0
410 0.485489 0
411 0.505306 0
412 0.506454 0
413 0.50691 0
414 0.531002 0
415 0.571445 0
416 0.571445 0
417 0.571445 0
418 0.571445 0
419 0.571445 0
420 0.604 0
421 0.604 0
422 0.604 0
423 0.604 0
424 0.604 0
425 0.565881 0
426 0.53931 0
427 0.515397 0
428 0.504457 0
429 0.490717 0
430 0.485131 0
431 0.493194 0
432 0.480385 0
433 0.49095 0
434 0.488806 0
435 0.485732 0
436 0.486576 0
437 0.477455 0
438 0.484428 0
439 0.485047 0
440 0.487377 0
441 0.505057 0
442 0.502699 0
443 0.527884 0
444 0.561211 0
445 0.602208 0
446 0.602208 0
447 0.602208 0
448 0.602208 0
449 0.602208 0
450 0.593703 0
451 0.593703 0
452 0.593703 0
453 0.593703 0
454 0.593703 0
455 0.558639 0
456 0.533845 0
457 0.515499 0
458 0.509159 0
459 0.495475 0
460 0.485086 0
461 0.49564 0
462 0.488734 0
463 0.496702 0
464 0.49121 0
465 0.489561 0
466 0.493786 0
467 0.481516 0
468 0.495017 0
469 0.494459 0
470 0.490922 0
471 0.504278 0
472 0.506639 0
473 0.539717 0
474 0.572329 0
475 0.612563 0
476 0.612563 0
477 0.612563 0
478 0.612563 0
479 0.612563 0
480 0.578435 0
481 0.578435 0
482 0.578435 0
483 0.578435 0
484 0.578435 0
485 0.542648 0
486 0.521742 0
487 0.50986 0
488 0.508058 0
489 0.496785 0
490 0.477187 0
491 0.486208 0
492 0.486881 0
493 0.492917 0
494 0.486038 0
495 0.474894 0
496 0.479299 0
497 0.473473 0
498 0.492818 0
499 0.495766 0
500 0.492852 0
501 0.499204 0
502 0.506921 0
503 0.54232 0
504 0.575247 0
505 0.613356 0
506 0.613356 0
507 0.613356 0
508 0.613356 0
509 0.613356 0
510 0.569241 0
511 0.569241 0
512 0.569241 0
513 0.569241 0
514 0.569241 0
515 0.53003 0
516 0.511996 0
517 0.512322 0
518 0.512486 0
519 0.50382 0
520 0.47493 0
521 0.482938 0
522 0.489523 0
523 0.496285 0
524 0.491695 0
525 0.47991 0
526 0.482997 0
527 0.484112 0
528 0.500944 0
529 0.506317 0
530 0.503904 0
531 0.506027 0
532 0.516796 0
533 0.55107 0
534 0.577054 0
535 0.609791 0
536 0.609791 0
537 0.609791 0
538 0.609791 0
539 0.609791 0
