pointId Ascore actuallabel
0 0.471443 1
1 0.463424 0
2 0.463445 0
3 0.468778 0
4 0.465476 0
5 0.472145 0
6 0.469168 0
7 0.466238 0
8 0.506734 0
9 0.490729 0
10 0.464386 0
11 0.456312 0
12 0.464369 0
13 0.448974 0
14 0.455698 0
15 0.481514 0
16 0.493675 0
17 0.470162 0
18 0.458301 0
19 0.482536 0
20 0.465059 0
21 0.460728 0
22 0.458896 0
23 0.464115 0
24 0.507987 0
25 0.472282 0
26 0.503966 0
27 0.478871 0
28 0.456096 0
29 0.448516 0
30 0.463982 0
31 0.562442 0
32 0.465593 0
33 0.465707 0
34 0.467475 0
35 0.484262 0
36 0.46755 0
37 0.47806 0
38 0.495887 0
39 0.478249 0
40 0.468173 0
41 0.506668 0
42 0.473196 0
43 0.482832 0
44 0.466976 0
45 0.46356 0
46 0.481549 0
47 0.505165 0
48 0.453529 0
49 0.466292 0
50 0.449781 0
51 0.482175 0
52 0.461583 0
53 0.461219 0
54 0.481194 0
55 0.45971 0
56 0.461449 0
57 0.466969 0
58 0.485958 0
59 0.51476 0
60 0.470781 0
61 0.480092 0
62 0.469648 0
63 0.476348 0
64 0.466298 0
65 0.453596 0
66 0.460274 0
67 0.453885 0
68 0.467565 0
69 0.472073 0
70 0.477729 0
71 0.486929 0
72 0.475479 0
73 0.495099 0
74 0.488809 0
75 0.467409 0
76 0.463069 0
77 0.50101 0
78 0.470571 0
79 0.463 0
80 0.495612 0
81 0.464236 0
82 0.459758 0
83 0.473145 0
84 0.472513 0
85 0.453203 0
86 0.464394 0
87 0.467132 0
88 0.47062 0
89 0.466733 0
90 0.474475 0
91 0.473364 0
92 0.449335 0
93 0.47169 0
94 0.479959 0
95 0.488563 0
96 0.460814 0
97 0.460613 0
98 0.508048 0
99 0.463484 0
100 0.461102 0
101 0.581619 0
102 0.471838 0
103 0.452458 0
104 0.463825 0
105 0.494407 0
106 0.454724 0
107 0.482629 0
108 0.466849 0
109 0.469008 0
110 0.513934 0
111 0.500822 0
112 0.474594 0
113 0.466543 0
114 0.46423 0
115 0.484231 0
116 0.47442 0
117 0.483705 0
118 0.524198 0
119 0.514846 0
