pointId Ascore actuallabel
0 0.446746 6
1 0.419222 3
2 0.485146 2
3 0.446394 6
4 0.42017 6
5 0.411502 6
6 0.451806 7
7 0.421032 1
8 0.605559 3
9 0.446652 1
10 0.415761 4
11 0.456649 5
12 0.455176 5
13 0.441689 6
14 0.509224 7
15 0.429519 5
16 0.422815 1
17 0.434157 6
18 0.438861 4
19 0.47092 4
20 0.431567 5
21 0.419092 1
22 0.424759 3
23 0.489806 2
24 0.486513 7
25 0.427465 5
26 0.425387 3
27 0.456267 6
28 0.480783 2
29 0.513743 3
30 0.472069 7
31 0.419224 5
32 0.425071 5
33 0.401329 4
34 0.453823 7
35 0.473354 7
36 0.455836 7
37 0.421784 1
38 0.410271 5
39 0.458382 3
40 0.54457 7
41 0.477468 5
42 0.456938 7
43 0.513004 7
44 0.416863 3
45 0.429134 5
46 0.42895 5
47 0.449773 6
48 0.4201 3
49 0.438318 3
50 0.423209 1
51 0.408344 5
52 0.57765 2
53 0.448607 7
54 0.454715 6
55 0.459711 5
56 0.416895 4
57 0.51347 2
58 0.474234 3
59 0.444675 4
60 0.423282 6
61 0.444996 4
62 0.465924 3
63 0.422889 5
64 0.418382 1
65 0.49229 7
66 0.518423 2
67 0.482402 4
68 0.428455 6
69 0.427465 5
70 0.418591 1
71 0.420432 3
72 0.42677 4
73 0.472804 5
74 0.415623 3
75 0.412504 3
76 0.535514 2
77 0.419885 1
78 0.465467 7
79 0.408803 1
80 0.416528 3
81 0.501986 2
82 0.425519 1
83 0.408309 1
84 0.413846 6
85 0.50492 7
86 0.418183 3
87 0.419887 4
88 0.415749 6
89 0.442857 4
90 0.468312 6
91 0.534192 2
92 0.419019 1
93 0.4126 3
94 0.406259 4
95 0.455615 7
96 0.422811 6
97 0.434738 1
98 0.424223 1
99 0.420987 5
100 0.406924 1
101 0.426066 3
102 0.506072 2
103 0.487247 7
104 0.429201 1
105 0.421707 1
106 0.444113 4
107 0.422508 1
108 0.425649 5
109 0.497875 4
110 0.489527 2
111 0.415713 3
112 0.496998 2
113 0.443389 6
114 0.450801 7
115 0.409709 1
116 0.417791 1
117 0.403871 5
118 0.515125 2
119 0.440318 4
120 0.477663 2
121 0.581336 3
122 0.470024 4
123 0.447023 7
124 0.421459 1
125 0.552991 2
126 0.450358 4
127 0.461556 4
128 0.458925 3
129 0.552927 3
130 0.410716 5
131 0.432788 4
132 0.581336 3
133 0.448154 6
134 0.436904 1
135 0.418231 5
136 0.459954 3
137 0.409177 1
138 0.415252 5
139 0.469849 7
140 0.436593 3
141 0.425274 1
142 0.423613 6
143 0.407572 3
144 0.404702 4
145 0.486208 2
146 0.45105 4
147 0.443101 7
148 0.461575 6
149 0.480573 5
150 0.466454 6
151 0.537298 2
152 0.433638 6
153 0.404838 5
154 0.456219 3
155 0.429319 6
156 0.468552 7
157 0.417472 1
158 0.462674 6
159 0.450702 6
160 0.418771 4
161 0.457138 4
162 0.461797 7
163 0.445231 6
164 0.566027 2
165 0.497427 2
166 0.424238 3
167 0.433786 5
168 0.450507 4
169 0.450695 5
170 0.421861 4
171 0.425887 4
172 0.407303 4
173 0.454372 3
174 0.434463 3
175 0.415506 6
176 0.465426 7
177 0.505912 2
178 0.42106 5
179 0.449506 3
180 0.459655 6
181 0.413094 1
182 0.440836 4
183 0.440351 6
184 0.488917 2
185 0.483274 2
186 0.43761 6
187 0.437402 5
188 0.458705 4
189 0.411586 1
190 0.47546 5
191 0.443768 7
192 0.480501 7
193 0.412436 1
194 0.419197 1
195 0.528375 2
196 0.431739 3
197 0.445865 7
198 0.437402 5
199 0.501064 4
200 0.421563 1
201 0.472287 5
202 0.418338 5
203 0.427282 5
204 0.458059 7
205 0.426321 6
206 0.50608 2
207 0.443691 7
208 0.439577 6
209 0.410219 1
210 0.499646 6
211 0.434221 3
212 0.443559 7
213 0.493416 2
214 0.428937 3
215 0.437227 5
216 0.418962 5
