pointId Ascore actuallabel
0 0.488612 4
1 0.369479 1
2 0.377755 1
3 0.383686 1
4 0.532903 5
5 0.431016 4
6 0.373289 1
7 0.433101 4
8 0.456273 1
9 0.393057 1
10 0.354331 1
11 0.364347 1
12 0.425026 1
13 0.404595 1
14 0.37902 1
15 0.351776 1
16 0.367076 1
17 0.367967 1
18 0.504543 1
19 0.364536 1
20 0.555071 5
21 0.391628 1
22 0.408337 1
23 0.355184 1
24 0.447696 1
25 0.383438 4
26 0.399045 1
27 0.386705 1
28 0.387218 1
29 0.428248 1
30 0.437012 1
31 0.602902 5
32 0.393563 1
33 0.443565 1
34 0.46362 1
35 0.386953 4
36 0.380366 1
37 0.383984 1
38 0.378991 1
39 0.374116 1
40 0.383337 1
41 0.405517 4
42 0.425963 1
43 0.590654 5
44 0.389221 1
45 0.370945 1
46 0.358038 1
47 0.390615 4
48 0.376599 1
49 0.362911 1
50 0.391072 4
51 0.386993 1
52 0.377602 1
53 0.358426 1
54 0.365241 1
55 0.386685 1
56 0.379162 1
57 0.580291 5
58 0.559593 5
59 0.355479 1
60 0.369717 1
61 0.353555 1
62 0.361565 1
63 0.378507 4
64 0.445165 4
65 0.349489 1
66 0.364244 1
67 0.368056 1
68 0.367131 1
69 0.535899 1
70 0.352159 1
71 0.368102 1
72 0.360482 1
73 0.377781 1
74 0.423923 4
75 0.356893 1
76 0.360167 1
77 0.438589 4
78 0.344261 1
79 0.372168 1
80 0.358533 1
81 0.363506 1
82 0.362425 1
83 0.372996 1
84 0.394385 1
85 0.398062 1
86 0.433262 1
87 0.350931 1
88 0.38211 1
89 0.366779 1
90 0.391534 1
91 0.375509 1
92 0.353701 1
93 0.393845 1
94 0.369915 1
95 0.353966 1
96 0.401237 4
97 0.38233 1
98 0.372266 1
99 0.367988 1
100 0.380433 1
101 0.569493 5
102 0.395304 1
103 0.369262 1
104 0.394603 1
105 0.355529 1
106 0.394274 1
107 0.549734 5
108 0.368874 1
109 0.383363 4
110 0.347889 1
111 0.551983 5
112 0.434508 1
113 0.37948 1
114 0.45041 4
115 0.476269 4
116 0.352705 1
117 0.433811 4
118 0.36817 1
119 0.421902 1
120 0.382704 1
121 0.369462 1
122 0.35655 1
123 0.383859 1
124 0.385019 1
125 0.42941 1
126 0.376879 1
127 0.360232 1
128 0.352448 1
129 0.380731 1
130 0.464658 4
131 0.358653 1
132 0.426052 1
133 0.386398 1
134 0.371254 1
135 0.405337 1
136 0.3961 1
137 0.366591 1
138 0.49284 1
139 0.368167 1
140 0.369271 1
141 0.435668 1
142 0.382707 1
143 0.355262 1
144 0.428225 1
145 0.368529 1
146 0.359581 1
147 0.38407 1
148 0.352945 1
149 0.353867 1
150 0.368785 4
151 0.412858 1
152 0.352029 1
153 0.415178 1
154 0.344391 1
155 0.478394 4
156 0.493976 1
157 0.371361 1
158 0.369208 1
159 0.393039 1
160 0.359042 1
161 0.584715 4
162 0.437052 1
163 0.442738 1
164 0.519696 1
165 0.462018 1
166 0.38534 1
167 0.353982 1
168 0.360066 1
169 0.378782 1
170 0.427227 4
171 0.408048 1
172 0.359005 1
173 0.55232 5
174 0.364996 1
175 0.385393 4
176 0.599586 5
177 0.451455 1
178 0.471663 1
179 0.392433 1
180 0.395156 1
181 0.502679 4
182 0.521139 4
183 0.384367 1
184 0.412613 4
185 0.473856 1
186 0.40888 4
187 0.369142 1
188 0.374016 1
189 0.436289 1
190 0.428891 1
191 0.38185 1
192 0.367521 1
193 0.394156 1
194 0.347213 1
195 0.421189 4
196 0.40389 4
197 0.366375 1
198 0.379111 1
199 0.600773 5
200 0.361934 1
201 0.491653 4
202 0.377603 1
203 0.364988 1
204 0.374971 1
205 0.349479 1
206 0.432499 4
207 0.491234 1
208 0.521744 1
209 0.427009 1
210 0.357383 1
211 0.383339 1
212 0.356265 1
213 0.347403 1
214 0.345021 1
215 0.354165 1
216 0.36639 1
217 0.367225 1
218 0.350585 1
219 0.346842 1
220 0.357356 1
221 0.369533 1
222 0.394627 1
223 0.380783 1
224 0.500782 5
225 0.509507 4
226 0.358294 1
227 0.419013 4
228 0.364298 1
229 0.377089 1
230 0.349299 1
231 0.389409 1
232 0.372946 4
233 0.380247 1
234 0.429652 1
235 0.38342 1
236 0.390863 1
237 0.374806 4
238 0.380445 1
239 0.396377 1
240 0.436345 1
241 0.363113 1
242 0.357502 1
243 0.406228 1
244 0.405139 1
245 0.360465 1
246 0.633104 2
247 0.478669 1
248 0.40716 1
249 0.386221 1
250 0.371265 1
251 0.356198 1
252 0.400361 4
253 0.3826 1
254 0.375469 1
255 0.364932 1
256 0.449511 4
257 0.376891 1
258 0.403215 1
259 0.351798 1
260 0.362152 1
261 0.425727 1
262 0.360081 1
263 0.536299 5
264 0.427365 1
265 0.355922 1
266 0.374637 1
267 0.402274 4
268 0.388083 1
269 0.37429 1
270 0.350271 1
271 0.358215 1
272 0.398651 1
273 0.375354 1
274 0.374498 1
275 0.359471 1
276 0.598587 5
277 0.361918 1
278 0.537753 5
279 0.364305 1
280 0.387618 1
281 0.358291 1
282 0.426097 4
283 0.391114 1
284 0.351534 1
285 0.421578 1
286 0.452672 4
287 0.536997 4
288 0.449979 1
289 0.367408 1
290 0.381014 1
291 0.365027 1
292 0.524484 5
293 0.431062 1
294 0.418137 1
295 0.575461 3
296 0.389742 1
297 0.382563 1
298 0.376982 4
299 0.383266 1
300 0.369596 4
301 0.370112 1
302 0.381026 1
303 0.392196 1
304 0.371549 1
305 0.365531 1
306 0.354103 1
307 0.407919 1
308 0.355273 1
309 0.373561 1
310 0.37388 1
311 0.433278 1
312 0.489268 4
313 0.381769 1
314 0.392929 1
315 0.375092 1
316 0.371197 1
317 0.348961 1
318 0.39248 1
319 0.50842 5
320 0.488725 1
321 0.35828 1
322 0.352892 1
323 0.367868 1
324 0.426714 1
325 0.37714 1
326 0.407224 1
327 0.368438 1
328 0.359107 1
329 0.570166 5
330 0.348753 1
331 0.364882 1
332 0.568028 5
333 0.364136 1
334 0.361397 1
335 0.590583 5
336 0.417714 1
337 0.446455 1
338 0.397685 1
339 0.373098 1
340 0.350338 1
341 0.36039 1
342 0.415028 1
343 0.367686 1
344 0.503103 1
345 0.359405 1
346 0.375935 1
347 0.413207 4
348 0.430741 1
349 0.424481 4
350 0.382808 1
351 0.371866 1
352 0.358181 1
353 0.422525 4
354 0.371965 1
355 0.426469 1
356 0.518108 4
357 0.416956 1
358 0.388255 4
359 0.386071 1
360 0.374569 1
361 0.443055 1
362 0.383852 1
363 0.555316 5
364 0.478958 1
365 0.3831 4
366 0.345435 1
367 0.357939 1
368 0.34526 1
369 0.43096 4
370 0.388281 1
371 0.413535 4
372 0.355409 1
373 0.370155 1
374 0.371315 1
375 0.381479 1
376 0.442062 1
377 0.393174 1
378 0.359975 1
379 0.448479 1
380 0.386556 1
381 0.437752 1
382 0.396831 1
383 0.446566 1
384 0.361543 1
385 0.376598 1
386 0.350599 1
387 0.376969 1
388 0.380933 1
389 0.387461 1
390 0.405694 1
391 0.364781 1
392 0.484357 1
393 0.39661 4
394 0.581789 5
395 0.391586 4
396 0.398192 1
397 0.349534 1
398 0.355424 1
399 0.416107 1
400 0.564105 5
401 0.395156 1
402 0.41221 1
403 0.370966 1
404 0.373489 1
405 0.461423 1
406 0.478963 1
407 0.35592 1
408 0.410251 1
409 0.50755 5
410 0.382846 1
411 0.368205 1
412 0.377111 1
413 0.447954 1
414 0.368948 1
415 0.35298 1
416 0.389694 1
417 0.347784 1
418 0.430636 1
419 0.372761 1
420 0.346969 1
421 0.558667 4
422 0.35237 1
423 0.435263 1
424 0.355459 1
425 0.464387 1
426 0.602447 5
427 0.345999 1
428 0.376253 1
429 0.412735 4
430 0.378218 1
431 0.364073 1
432 0.411319 1
433 0.411444 1
434 0.428522 4
435 0.405855 4
436 0.357378 1
437 0.393372 4
438 0.42333 1
439 0.383766 1
440 0.448182 1
441 0.406457 1
442 0.574857 5
443 0.377006 1
444 0.37184 1
445 0.472936 4
446 0.371059 1
447 0.362181 1
448 0.549628 5
449 0.361894 1
450 0.382033 1
451 0.354851 1
452 0.356077 1
453 0.359467 1
454 0.382209 1
455 0.348539 1
456 0.389681 1
457 0.36738 1
458 0.371342 1
459 0.399654 1
460 0.357092 1
461 0.391639 1
462 0.454837 1
463 0.548531 5
464 0.373369 4
465 0.363404 1
466 0.419863 4
467 0.392684 1
468 0.386302 1
469 0.376045 1
470 0.379832 1
471 0.458765 1
472 0.427194 1
473 0.428394 1
474 0.351247 1
475 0.398555 1
476 0.381031 1
477 0.375932 4
478 0.372829 4
479 0.395065 1
480 0.359974 1
481 0.476838 4
482 0.470803 1
483 0.382039 4
484 0.371453 1
485 0.475123 1
486 0.363765 1
487 0.372237 1
488 0.434595 1
