pointId Ascore actuallabel
0 0.455917 4
1 0.351573 1
2 0.370804 1
3 0.386809 1
4 0.49495 5
5 0.417062 4
6 0.34701 1
7 0.405307 4
8 0.417087 1
9 0.383337 1
10 0.354493 1
11 0.344818 1
12 0.401883 1
13 0.388055 1
14 0.369355 1
15 0.336087 1
16 0.343057 1
17 0.349778 1
18 0.559205 1
19 0.351646 1
20 0.531224 5
21 0.36665 1
22 0.405814 1
23 0.338631 1
24 0.411788 1
25 0.36083 4
26 0.367013 1
27 0.356684 1
28 0.365279 1
29 0.397968 1
30 0.417306 1
31 0.558107 5
32 0.402114 1
33 0.44531 1
34 0.451657 1
35 0.371922 4
36 0.354716 1
37 0.358193 1
38 0.350815 1
39 0.364489 1
40 0.37313 1
41 0.401537 4
42 0.403406 1
43 0.553865 5
44 0.37893 1
45 0.355819 1
46 0.341748 1
47 0.360404 4
48 0.349102 1
49 0.344261 1
50 0.380459 4
51 0.361028 1
52 0.353345 1
53 0.339268 1
54 0.359854 1
55 0.364866 1
56 0.34936 1
57 0.540945 5
58 0.53381 5
59 0.349116 1
60 0.349633 1
61 0.335959 1
62 0.35547 1
63 0.358472 4
64 0.423768 4
65 0.336374 1
66 0.343667 1
67 0.348833 1
68 0.347943 1
69 0.696808 1
70 0.33363 1
71 0.350371 1
72 0.369335 1
73 0.355424 1
74 0.407887 4
75 0.343419 1
76 0.342658 1
77 0.44788 4
78 0.333544 1
79 0.378316 1
80 0.347358 1
81 0.350433 1
82 0.345115 1
83 0.350565 1
84 0.359776 1
85 0.360214 1
86 0.399499 1
87 0.336227 1
88 0.375189 1
89 0.354289 1
90 0.355086 1
91 0.359599 1
92 0.339033 1
93 0.354389 1
94 0.342744 1
95 0.34269 1
96 0.381825 4
97 0.37325 1
98 0.356173 1
99 0.359233 1
100 0.373792 1
101 0.563822 5
102 0.361916 1
103 0.368799 1
104 0.384327 1
105 0.343993 1
106 0.371769 1
107 0.527408 5
108 0.352513 1
109 0.388076 4
110 0.336321 1
111 0.523362 5
112 0.409779 1
113 0.356654 1
114 0.419524 4
115 0.431882 4
116 0.339461 1
117 0.423292 4
118 0.356641 1
119 0.408893 1
120 0.358191 1
121 0.347569 1
122 0.338255 1
123 0.352773 1
124 0.355277 1
125 0.404694 1
126 0.350396 1
127 0.344576 1
128 0.353189 1
129 0.354397 1
130 0.428252 4
131 0.345637 1
132 0.391936 1
133 0.366952 1
134 0.355697 1
135 0.389445 1
136 0.365725 1
137 0.343956 1
138 0.442982 1
139 0.346459 1
140 0.345609 1
141 0.410829 1
142 0.372665 1
143 0.338912 1
144 0.392275 1
145 0.36164 1
146 0.351602 1
147 0.354098 1
148 0.334288 1
149 0.348302 1
150 0.347821 4
151 0.385738 1
152 0.338731 1
153 0.414854 1
154 0.335024 1
155 0.456384 4
156 0.416743 1
157 0.353536 1
158 0.351985 1
159 0.360616 1
160 0.342175 1
161 0.545058 4
162 0.405721 1
163 0.405399 1
164 0.433454 1
165 0.438583 1
166 0.388611 1
167 0.34703 1
168 0.34514 1
169 0.38412 1
170 0.411224 4
171 0.371815 1
172 0.337341 1
173 0.521714 5
174 0.34564 1
175 0.37153 4
176 0.571745 5
177 0.446559 1
178 0.412244 1
179 0.383995 1
180 0.384949 1
181 0.461478 4
182 0.481445 4
183 0.360137 1
184 0.393045 4
185 0.419541 1
186 0.399496 4
187 0.354821 1
188 0.367611 1
189 0.400505 1
190 0.399934 1
191 0.364285 1
192 0.350922 1
193 0.384422 1
194 0.337881 1
195 0.390027 4
196 0.366173 4
197 0.351623 1
198 0.348653 1
199 0.558299 5
200 0.347906 1
201 0.459512 4
202 0.360005 1
203 0.345917 1
204 0.379437 1
205 0.33937 1
206 0.413204 4
207 0.432209 1
208 0.552747 1
209 0.408214 1
210 0.341684 1
211 0.38398 1
212 0.344622 1
213 0.333539 1
214 0.333544 1
215 0.338996 1
216 0.350312 1
217 0.366422 1
218 0.338534 1
219 0.3351 1
220 0.337756 1
221 0.352731 1
222 0.374273 1
223 0.362678 1
224 0.469357 5
225 0.466013 4
226 0.342378 1
227 0.379667 4
228 0.349615 1
229 0.362033 1
230 0.338988 1
231 0.369813 1
232 0.350822 4
233 0.359567 1
234 0.399298 1
235 0.344929 1
236 0.384938 1
237 0.360341 4
238 0.352635 1
239 0.389406 1
240 0.396112 1
